ContractTitle,ContractDate,ContractAmount,Location,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Rev,6/10/2012,Rupiah,Central District,4,Twitterbridge,5,91,false,3,4,sustainable,30% reduction in energy use,1
Dr,8/31/2022,Rupiah,Central District,2,Edgeify,3,41,true,1,2,certified,30% reduction in energy use,0
Dr,5/19/2007,Rupee,Town Square,5,Meemm,2,70,false,1,2,sustainable,40% reduction in energy use,1
Mr,8/19/2003,Peso,Central District,4,Browsezoom,5,10,true,2,4,sustainable,30% reduction in energy use,1
Mr,7/7/2018,Yuan Renminbi,Town Square,3,Edgetag,5,26,true,3,2,sustainable,40% reduction in energy use,0
Mrs,12/8/2014,Real,Town Square,3,Aimbu,5,29,false,3,4,certified,40% reduction in energy use,1
Ms,3/2/2012,Rupiah,Town Square,5,Babblestorm,3,5,false,3,4,certified,40% reduction in energy use,1
Honorable,4/28/2015,Dollar,City Centre,2,Zoonoodle,1,50,false,1,2,certified,30% reduction in energy use,0
Honorable,10/24/2013,Koruna,City Centre,5,Thoughtbeat,2,39,false,1,4,sustainable,30% reduction in energy use,0
Rev,8/13/2008,Yuan Renminbi,City Centre,1,Rhycero,2,89,true,3,1,certified,30% reduction in energy use,0
Rev,11/15/2023,Ariary,Town Square,5,Brainlounge,3,38,false,1,3,certified,40% reduction in energy use,1
Mrs,12/5/2004,Rupiah,Central District,1,Reallinks,1,33,false,1,3,reclaimed,30% reduction in energy use,0
Mrs,10/25/2018,Peso,Town Square,4,Tanoodle,3,10,false,3,3,sustainable,30% reduction in energy use,1
Ms,1/9/2016,Euro,Town Square,4,Jabbertype,1,58,false,2,2,sustainable,40% reduction in energy use,0
Mrs,6/18/2000,Euro,Central District,3,Aivee,1,62,false,2,4,certified,30% reduction in energy use,0
Mr,11/7/2021,Euro,Central District,3,Eimbee,2,69,false,2,2,sustainable,40% reduction in energy use,0
Ms,4/21/2007,Dollar,Town Square,4,Photofeed,4,10,false,3,2,sustainable,40% reduction in energy use,1
Mr,6/9/2016,Yuan Renminbi,City Centre,3,Riffpath,2,41,false,3,2,certified,40% reduction in energy use,1
Rev,1/3/2014,Tugrik,City Centre,4,Katz,3,88,false,2,1,reclaimed,40% reduction in energy use,1
Mr,11/17/2003,Yuan Renminbi,City Centre,3,Yakitri,2,45,false,2,2,reclaimed,30% reduction in energy use,1
Honorable,3/18/2009,Yuan Renminbi,City Centre,4,Wikivu,2,56,false,3,2,certified,30% reduction in energy use,0
Rev,5/22/2008,Hryvnia,Town Square,4,Mydeo,5,27,false,1,3,reclaimed,30% reduction in energy use,1
Ms,5/7/2007,Krona,Town Square,4,Fivebridge,5,55,false,3,3,reclaimed,40% reduction in energy use,1
Ms,8/25/2013,Euro,Town Square,4,Wikizz,1,70,true,1,4,sustainable,30% reduction in energy use,0
Dr,2/16/2011,Ruble,Town Square,2,Mycat,5,70,true,3,3,reclaimed,30% reduction in energy use,0
Ms,5/18/2019,Dinar,Town Square,1,Wordify,4,51,false,3,3,sustainable,40% reduction in energy use,1
Ms,10/17/2017,Naira,City Centre,3,Yozio,1,37,true,3,1,sustainable,30% reduction in energy use,1
Mr,5/3/2002,Baht,Town Square,5,Devbug,2,17,false,3,2,sustainable,30% reduction in energy use,0
Rev,8/15/2012,Peso,City Centre,3,Katz,3,58,false,1,4,reclaimed,40% reduction in energy use,1
Dr,12/3/2000,Peso,Central District,5,Dabtype,2,59,false,1,2,sustainable,30% reduction in energy use,1
Ms,1/27/2011,Euro,City Centre,1,Twitterbeat,2,27,false,1,3,reclaimed,30% reduction in energy use,1
Rev,12/9/2022,Dollar,Town Square,2,Trudeo,2,29,true,3,1,sustainable,40% reduction in energy use,1
Honorable,10/5/2015,Sol,Town Square,5,Dablist,4,0,false,1,2,certified,40% reduction in energy use,0
Mr,11/22/2000,Real,Town Square,4,Yadel,3,9,false,1,4,sustainable,40% reduction in energy use,1
Rev,4/4/2018,Yen,Town Square,2,Twitternation,3,86,true,3,1,certified,30% reduction in energy use,1
Ms,11/28/2022,Lempira,Town Square,1,Quimba,3,31,true,3,2,reclaimed,40% reduction in energy use,1
Mr,6/19/2004,Dirham,Central District,4,Fiveclub,5,72,true,3,4,certified,30% reduction in energy use,0
Mr,4/29/2019,Peso,Town Square,3,Dabvine,2,89,true,1,1,sustainable,40% reduction in energy use,1
Ms,12/3/2002,Dinar,City Centre,5,Blogtag,3,50,false,1,2,sustainable,30% reduction in energy use,1
Ms,7/26/2006,Rupiah,Central District,4,Kazu,3,80,false,3,4,sustainable,40% reduction in energy use,0
Mr,4/20/2016,Dollar,City Centre,1,Chatterbridge,1,58,true,1,4,sustainable,30% reduction in energy use,1
Honorable,4/9/2010,Dong,Town Square,3,Twimm,3,5,true,2,4,certified,30% reduction in energy use,1
Honorable,4/13/2019,Yuan Renminbi,Town Square,1,Youtags,2,98,false,3,4,sustainable,40% reduction in energy use,1
Dr,3/17/2011,Yuan Renminbi,City Centre,4,Janyx,4,46,true,2,3,sustainable,30% reduction in energy use,0
Honorable,1/21/2019,Yuan Renminbi,Town Square,3,Photofeed,1,85,false,2,2,reclaimed,40% reduction in energy use,0
Rev,9/23/2005,Cordoba,Town Square,1,Eamia,3,96,true,3,4,certified,40% reduction in energy use,0
Honorable,7/21/2021,Franc,City Centre,2,Rhycero,4,44,false,3,3,reclaimed,40% reduction in energy use,1
Dr,6/7/2009,Rupee,City Centre,5,Zazio,4,63,false,2,4,reclaimed,40% reduction in energy use,1
Rev,8/11/2002,Peso,City Centre,2,Cogilith,4,62,true,3,3,sustainable,30% reduction in energy use,0
Mr,3/9/2005,Yuan Renminbi,Central District,3,Topicblab,1,1,true,1,3,certified,30% reduction in energy use,1
Dr,5/13/2001,Peso,City Centre,1,Npath,2,55,true,2,3,sustainable,40% reduction in energy use,0
Dr,10/16/2017,Rupiah,Town Square,3,Meetz,2,26,false,1,2,sustainable,30% reduction in energy use,1
Honorable,1/4/2012,Yuan Renminbi,City Centre,3,Flashpoint,5,83,true,3,2,reclaimed,30% reduction in energy use,1
Rev,8/6/2023,Dram,Central District,3,Twitternation,1,53,true,3,2,sustainable,30% reduction in energy use,1
Mr,2/25/2017,Peso,Central District,2,Mydo,4,78,true,3,2,sustainable,40% reduction in energy use,0
Dr,3/15/2022,Yuan Renminbi,City Centre,1,Skivee,5,1,true,3,4,sustainable,30% reduction in energy use,1
Mrs,7/15/2017,Naira,Central District,1,Bubblemix,5,55,false,3,1,sustainable,40% reduction in energy use,1
Honorable,7/4/2004,Peso,City Centre,4,Skaboo,2,32,true,3,1,reclaimed,40% reduction in energy use,1
Mr,1/10/2007,Dirham,City Centre,1,Thoughtbeat,3,11,true,1,1,certified,40% reduction in energy use,1
Dr,9/1/2001,Yuan Renminbi,Central District,4,Trudoo,2,45,true,3,3,reclaimed,30% reduction in energy use,0
Ms,9/8/2022,Yuan Renminbi,City Centre,3,Feedfish,2,57,true,2,3,reclaimed,40% reduction in energy use,1
Honorable,4/1/2006,Dinar,Town Square,2,Devshare,3,16,true,3,2,reclaimed,40% reduction in energy use,0
Dr,2/16/2008,Rial,City Centre,2,Zoozzy,3,1,true,1,4,sustainable,30% reduction in energy use,1
Mrs,4/15/2000,Dram,Central District,4,Blogpad,2,56,false,1,2,reclaimed,30% reduction in energy use,1
Rev,11/9/2023,Peso,Town Square,1,Tavu,5,78,false,3,2,reclaimed,40% reduction in energy use,0
Mrs,8/14/2023,Euro,Central District,3,Edgetag,3,92,true,1,4,certified,40% reduction in energy use,1
Mr,2/13/2023,Euro,Town Square,5,Digitube,1,41,true,2,4,reclaimed,40% reduction in energy use,0
Honorable,10/21/2022,Sol,Central District,1,Twitterbeat,3,95,false,1,4,sustainable,40% reduction in energy use,0
Mrs,6/6/2005,Baht,City Centre,2,Wordtune,4,100,false,2,2,sustainable,40% reduction in energy use,1
Mr,4/15/2006,Ringgit,Town Square,5,Rhycero,4,81,false,1,3,certified,40% reduction in energy use,0
Mr,8/13/2001,Peso,Central District,5,Shuffledrive,3,82,true,2,3,certified,30% reduction in energy use,0
Rev,9/28/2007,Sol,City Centre,3,Twitternation,3,80,false,3,3,certified,30% reduction in energy use,0
Dr,1/24/2014,Yuan Renminbi,Central District,5,Yakijo,3,54,true,2,1,reclaimed,40% reduction in energy use,1
Mrs,1/30/2022,Peso,Central District,4,Zoozzy,3,2,false,1,1,reclaimed,40% reduction in energy use,0
Mrs,12/27/2001,Euro,City Centre,1,Oyoyo,5,32,false,1,1,reclaimed,30% reduction in energy use,0
Dr,11/14/2002,Quetzal,City Centre,3,Zoonder,1,64,true,2,2,reclaimed,30% reduction in energy use,1
Mr,12/29/2015,Yuan Renminbi,Town Square,2,Realcube,5,82,true,3,4,certified,30% reduction in energy use,1
Mrs,11/3/2018,Yuan Renminbi,Town Square,2,Quamba,1,76,true,1,3,sustainable,40% reduction in energy use,1
Mr,6/14/2016,Pound,Central District,2,Twitterworks,5,71,true,3,1,certified,40% reduction in energy use,1
Dr,7/30/2016,Naira,City Centre,4,Dabfeed,2,0,true,3,4,reclaimed,40% reduction in energy use,0
Honorable,10/19/2003,Peso,Town Square,2,Mydeo,1,5,false,2,4,reclaimed,30% reduction in energy use,1
Rev,12/23/2001,Peso,Town Square,5,Jabbersphere,4,32,false,2,1,sustainable,40% reduction in energy use,0
Mrs,9/4/2020,Yuan Renminbi,City Centre,1,Jaxbean,4,79,true,3,2,sustainable,30% reduction in energy use,1
Dr,5/17/2002,Ruble,Town Square,4,Wikizz,5,90,false,2,4,reclaimed,40% reduction in energy use,0
Honorable,7/7/2021,Dollar,Town Square,2,Oyoloo,4,70,false,2,4,certified,30% reduction in energy use,1
Rev,4/16/2012,Rupiah,City Centre,4,Jabberstorm,3,18,true,3,3,reclaimed,40% reduction in energy use,0
Honorable,1/18/2015,Dollar,Town Square,2,Linktype,3,56,false,1,4,certified,40% reduction in energy use,0
Mr,10/8/2010,Rupiah,Central District,3,Realblab,4,35,true,1,3,reclaimed,40% reduction in energy use,0
Mrs,2/7/2020,Euro,Town Square,1,Skiptube,2,38,false,2,1,sustainable,40% reduction in energy use,0
Dr,8/25/2023,Peso,Town Square,5,Aibox,4,18,false,1,3,certified,40% reduction in energy use,1
Honorable,10/16/2012,Ruble,Central District,1,Cogidoo,1,59,false,3,4,certified,40% reduction in energy use,1
Ms,9/16/2017,Euro,Town Square,2,Wordware,4,100,false,3,4,sustainable,40% reduction in energy use,0
Ms,5/5/2012,Dollar,City Centre,3,Twitterbridge,4,75,false,1,4,sustainable,30% reduction in energy use,0
Dr,3/24/2015,Peso,Town Square,4,Kwimbee,5,75,true,1,2,reclaimed,30% reduction in energy use,1
Mrs,10/27/2022,Euro,Town Square,5,Trilia,1,84,true,1,2,sustainable,40% reduction in energy use,0
Mrs,1/7/2016,Gourde,City Centre,2,Skimia,4,21,false,1,2,reclaimed,30% reduction in energy use,1
Ms,11/20/2017,Yuan Renminbi,City Centre,1,Browsebug,1,78,false,2,1,sustainable,40% reduction in energy use,0
Ms,10/10/2004,Peso,Central District,3,Blogpad,2,13,false,2,1,reclaimed,30% reduction in energy use,1
Dr,9/16/2015,Yuan Renminbi,Central District,1,Shufflester,5,79,false,3,2,certified,30% reduction in energy use,0
Mr,10/17/2004,Dinar,Town Square,5,Yodo,5,59,false,3,3,sustainable,40% reduction in energy use,1
Rev,3/28/2004,Euro,City Centre,5,Wikido,3,53,false,1,1,reclaimed,40% reduction in energy use,1
Mrs,11/25/2009,Baht,Town Square,3,Kazio,1,19,false,3,3,sustainable,30% reduction in energy use,1
Mrs,11/12/2015,Rupiah,City Centre,4,Tekfly,2,43,false,2,3,sustainable,40% reduction in energy use,1
Mr,5/17/2009,Peso,Central District,2,Tagfeed,3,5,false,1,4,sustainable,30% reduction in energy use,1
Mr,10/5/2004,Dollar,Town Square,1,Edgeify,1,81,false,1,2,sustainable,30% reduction in energy use,1
Honorable,3/24/2007,Dollar,Central District,1,Dazzlesphere,4,0,true,3,2,reclaimed,40% reduction in energy use,1
Rev,4/27/2013,Yuan Renminbi,Central District,4,Topicblab,5,58,true,2,2,reclaimed,40% reduction in energy use,0
Mrs,9/20/2000,Rupiah,Town Square,2,Photolist,3,20,true,1,3,sustainable,30% reduction in energy use,1
Rev,5/20/2004,Rupiah,City Centre,2,Thoughtstorm,3,28,false,1,3,sustainable,40% reduction in energy use,1
Dr,12/2/2018,Yuan Renminbi,City Centre,2,Topicware,5,96,true,1,1,sustainable,30% reduction in energy use,0
Dr,2/9/2008,Rupiah,Town Square,3,Thoughtbeat,3,78,false,3,1,reclaimed,40% reduction in energy use,1
Rev,2/15/2007,Yuan Renminbi,Town Square,3,Jaxbean,2,12,true,2,2,sustainable,40% reduction in energy use,0
Ms,2/15/2022,Yuan Renminbi,City Centre,1,Twitterbeat,2,16,true,2,1,certified,40% reduction in energy use,0
Mrs,5/24/2021,Euro,City Centre,2,Browsedrive,4,0,false,2,4,certified,30% reduction in energy use,0
Ms,1/27/2021,Dollar,City Centre,2,Blogspan,1,33,true,1,4,certified,40% reduction in energy use,0
Honorable,6/16/2012,Rupee,Central District,3,Tagtune,1,91,true,2,3,reclaimed,30% reduction in energy use,0
Honorable,6/9/2006,Taka,Town Square,3,Kare,5,45,true,3,3,reclaimed,40% reduction in energy use,0
Ms,1/9/2012,Rupiah,City Centre,5,Riffpedia,1,38,false,3,1,certified,40% reduction in energy use,0
Rev,10/28/2005,Marka,Town Square,3,Abata,4,73,true,3,2,sustainable,30% reduction in energy use,0
Mrs,11/7/2005,Euro,Town Square,1,Meejo,3,84,false,2,3,reclaimed,40% reduction in energy use,0
Ms,12/27/2013,Franc,Central District,5,Kayveo,1,20,false,3,4,reclaimed,40% reduction in energy use,0
Mr,9/4/2012,Rupiah,City Centre,2,Riffpedia,1,52,true,3,4,reclaimed,30% reduction in energy use,0
Mrs,4/15/2006,Yuan Renminbi,Central District,1,Demimbu,4,71,false,3,2,sustainable,30% reduction in energy use,1
Ms,12/1/2001,Dollar,Central District,3,Ailane,1,49,true,2,1,sustainable,30% reduction in energy use,0
Dr,7/3/2005,Euro,City Centre,1,Jaxworks,3,72,false,1,2,certified,40% reduction in energy use,0
Mrs,11/18/2017,Yuan Renminbi,Central District,1,Topiczoom,4,58,false,2,4,certified,30% reduction in energy use,1
Honorable,10/8/2015,Yuan Renminbi,City Centre,4,Tagpad,2,80,true,1,3,sustainable,40% reduction in energy use,1
Honorable,1/30/2014,Litas,Town Square,4,Gigabox,1,94,true,1,2,certified,40% reduction in energy use,1
Mrs,8/31/2014,Afghani,Central District,2,Vitz,3,16,false,1,4,reclaimed,40% reduction in energy use,1
Mr,5/29/2001,Rupiah,Town Square,5,Meembee,1,24,true,1,4,sustainable,30% reduction in energy use,0
Dr,9/19/2009,Rupiah,Central District,4,Dynava,3,42,true,1,3,certified,30% reduction in energy use,1
Ms,8/8/2012,Krona,City Centre,2,Eabox,4,24,false,1,3,reclaimed,30% reduction in energy use,1
Honorable,2/15/2020,Real,City Centre,4,Cogibox,5,2,true,3,2,certified,40% reduction in energy use,1
Mr,6/15/2014,Zloty,Central District,4,Youtags,1,3,true,2,3,certified,30% reduction in energy use,0
Dr,9/14/2003,Shilling,Central District,2,Nlounge,3,97,false,3,4,certified,40% reduction in energy use,1
Mrs,10/15/2007,Rupiah,Central District,3,Quaxo,5,34,true,1,2,certified,30% reduction in energy use,0
Ms,10/26/2019,Yuan Renminbi,Town Square,3,Zoomdog,1,5,true,3,4,certified,40% reduction in energy use,1
Dr,2/20/2012,Ruble,Town Square,4,Shuffledrive,1,5,true,3,3,reclaimed,40% reduction in energy use,0
Dr,9/4/2016,Peso,Central District,2,Kimia,5,0,true,1,4,reclaimed,40% reduction in energy use,0
Dr,7/1/2021,Yuan Renminbi,City Centre,1,Trudoo,1,20,false,3,4,sustainable,40% reduction in energy use,1
Mr,1/26/2001,Peso,Town Square,5,Muxo,5,47,false,3,1,certified,30% reduction in energy use,1
Honorable,7/28/2017,Ruble,Central District,4,Meezzy,2,5,true,1,2,reclaimed,30% reduction in energy use,0
Rev,6/26/2010,Rupiah,City Centre,2,Fatz,2,95,false,3,4,certified,40% reduction in energy use,0
Ms,1/2/2020,Rupiah,Central District,3,Flashset,3,70,false,2,3,sustainable,40% reduction in energy use,0
Dr,9/26/2006,Sol,Central District,5,Tazzy,1,23,false,3,4,certified,40% reduction in energy use,0
Honorable,6/17/2021,Koruna,Town Square,2,Babbleset,5,16,true,2,2,sustainable,30% reduction in energy use,0
Dr,12/5/2010,Yuan Renminbi,Central District,3,Wordware,4,24,false,2,2,reclaimed,40% reduction in energy use,0
Rev,12/4/2006,Krona,City Centre,1,Shufflebeat,3,77,false,2,1,certified,30% reduction in energy use,1
Ms,7/13/2011,Zloty,Central District,3,Realmix,3,41,false,3,4,sustainable,30% reduction in energy use,0
Mr,8/24/2010,Hryvnia,City Centre,2,Fliptune,1,65,true,2,2,certified,40% reduction in energy use,1
Mr,7/14/2017,Peso,Town Square,5,Minyx,1,81,true,2,4,sustainable,40% reduction in energy use,1
Rev,3/3/2005,Baht,Central District,1,Eare,3,87,false,2,4,sustainable,40% reduction in energy use,1
Honorable,4/15/2006,Zloty,Central District,4,Jabberstorm,4,63,false,2,4,sustainable,40% reduction in energy use,1
Mr,3/12/2003,Afghani,City Centre,3,Jayo,1,88,true,2,1,certified,40% reduction in energy use,0
Honorable,3/9/2004,Yuan Renminbi,Town Square,2,Devify,2,61,false,3,2,reclaimed,30% reduction in energy use,1
Rev,8/2/2005,Ruble,Central District,5,Skinder,5,82,false,3,1,reclaimed,40% reduction in energy use,1
Honorable,11/21/2009,Dollar,City Centre,3,Buzzbean,3,25,false,2,3,sustainable,30% reduction in energy use,1
Mr,6/24/2017,Euro,Town Square,4,Yodo,1,22,true,2,2,reclaimed,30% reduction in energy use,0
Honorable,11/4/2001,Dinar,Town Square,5,Jaxspan,1,59,true,3,2,certified,30% reduction in energy use,1
Mrs,12/31/2005,Rupee,City Centre,4,Brainverse,3,88,false,3,3,sustainable,30% reduction in energy use,1
Mr,10/30/2019,Rupiah,Town Square,5,Plambee,1,96,true,2,2,sustainable,30% reduction in energy use,0
Rev,12/28/2007,Real,Central District,3,Yabox,5,44,false,2,1,sustainable,40% reduction in energy use,1
Rev,11/30/2003,Krona,Central District,4,JumpXS,2,26,true,2,4,sustainable,40% reduction in energy use,1
Dr,7/18/2007,Forint,City Centre,5,Zoombeat,3,72,true,2,4,certified,40% reduction in energy use,1
Rev,8/15/2023,Yuan Renminbi,Town Square,1,Photospace,4,55,false,1,4,sustainable,30% reduction in energy use,1
Rev,5/16/2012,Euro,Town Square,5,Feedfire,2,39,false,1,2,reclaimed,40% reduction in energy use,1
Ms,4/15/2005,Naira,Town Square,2,DabZ,1,48,false,2,3,reclaimed,30% reduction in energy use,1
Mr,4/11/2019,Baht,Town Square,2,Centimia,5,18,false,2,4,reclaimed,40% reduction in energy use,1
Rev,11/5/2006,Rupiah,Central District,4,Lazz,2,75,true,3,4,certified,30% reduction in energy use,1
Honorable,6/20/2017,Yuan Renminbi,Town Square,3,Gabtype,2,82,false,1,3,certified,30% reduction in energy use,0
Rev,8/22/2020,Yuan Renminbi,Central District,2,Jabberbean,5,83,true,1,1,sustainable,40% reduction in energy use,0
Rev,2/5/2006,Rial,Central District,5,LiveZ,5,53,false,2,3,reclaimed,40% reduction in energy use,1
Rev,3/1/2007,Rupiah,City Centre,5,Photobug,1,38,true,3,4,sustainable,40% reduction in energy use,1
Honorable,10/28/2018,Rupiah,Central District,4,Feedbug,2,18,true,2,3,sustainable,40% reduction in energy use,1
Dr,7/10/2007,Dollar,Town Square,2,BlogXS,5,56,true,3,3,certified,30% reduction in energy use,1
Mrs,7/31/2006,Krona,Town Square,1,Jayo,5,50,false,3,3,reclaimed,40% reduction in energy use,0
Rev,7/16/2022,Peso,Town Square,2,Kwilith,4,96,true,2,3,reclaimed,40% reduction in energy use,1
Honorable,10/15/2013,Krone,Town Square,1,Topicshots,3,35,false,2,4,sustainable,40% reduction in energy use,0
Dr,4/29/2004,Birr,Town Square,4,Photobug,4,69,false,2,3,certified,30% reduction in energy use,0
Honorable,8/23/2016,Euro,Central District,5,Yodo,4,89,true,2,2,certified,40% reduction in energy use,1
Dr,4/7/2017,Krone,City Centre,4,Vimbo,5,30,false,3,2,sustainable,30% reduction in energy use,0
Mrs,5/16/2023,Rupiah,Central District,3,Thoughtblab,2,82,false,3,3,reclaimed,40% reduction in energy use,0
Rev,5/23/2014,Euro,Town Square,1,Yadel,4,38,true,3,2,certified,40% reduction in energy use,0
Mr,6/26/2013,Yuan Renminbi,City Centre,2,Yodel,5,7,true,2,4,reclaimed,40% reduction in energy use,1
Ms,4/3/2007,Koruna,City Centre,5,Vipe,5,57,true,2,2,certified,30% reduction in energy use,1
Mrs,10/13/2006,Euro,Central District,3,Youspan,3,35,false,2,3,reclaimed,30% reduction in energy use,1
Ms,8/19/2021,Ruble,Central District,2,Topiclounge,2,59,true,2,3,sustainable,40% reduction in energy use,0
Honorable,2/7/2010,Rupee,City Centre,1,Jayo,1,2,true,2,2,reclaimed,40% reduction in energy use,0
Honorable,7/31/2013,Yuan Renminbi,Town Square,4,Jetpulse,1,51,true,1,4,certified,40% reduction in energy use,0
Honorable,7/18/2022,Peso,Central District,4,Jabbercube,4,46,false,3,2,sustainable,40% reduction in energy use,1
Mr,12/10/2001,Shekel,City Centre,1,Shuffletag,4,91,true,2,3,certified,40% reduction in energy use,1
Dr,7/31/2017,Yuan Renminbi,Town Square,1,Demivee,5,89,true,2,4,reclaimed,40% reduction in energy use,1
Dr,6/26/2016,Euro,Town Square,4,Zoomlounge,3,29,true,3,2,sustainable,40% reduction in energy use,1
Mrs,8/7/2006,Ruble,City Centre,3,Dynabox,1,23,true,3,1,reclaimed,40% reduction in energy use,0
Rev,9/19/2014,Euro,Central District,3,Wordware,3,53,true,3,3,certified,30% reduction in energy use,1
Dr,6/23/2012,Euro,Central District,5,Buzzbean,2,84,false,3,2,reclaimed,40% reduction in energy use,0
Ms,4/25/2013,Ariary,City Centre,4,Fatz,4,85,true,2,1,reclaimed,30% reduction in energy use,0
Dr,6/3/2015,Euro,City Centre,2,Livetube,2,42,true,3,2,sustainable,40% reduction in energy use,0
Mrs,10/6/2009,Colon,Town Square,4,Wordpedia,3,100,false,3,3,reclaimed,30% reduction in energy use,1
Honorable,12/19/2001,Rupiah,Town Square,5,Feedfire,2,51,true,1,2,reclaimed,30% reduction in energy use,0
Rev,10/25/2011,Naira,Town Square,5,Babbleopia,3,70,true,3,1,reclaimed,40% reduction in energy use,1
Rev,1/9/2023,Zloty,Town Square,1,Gigashots,5,4,true,3,4,sustainable,30% reduction in energy use,1
Rev,2/4/2013,Peso,Town Square,5,Trilith,1,25,false,2,1,certified,30% reduction in energy use,0
Honorable,1/24/2015,Franc,City Centre,1,Eazzy,1,13,true,2,3,reclaimed,40% reduction in energy use,0
Mrs,5/13/2011,Rupiah,Central District,5,Photolist,4,37,true,3,4,certified,40% reduction in energy use,1
Dr,4/2/2000,Won,Central District,5,Browsecat,1,17,true,1,3,reclaimed,40% reduction in energy use,1
Mr,9/9/2020,Rand,Town Square,4,Browsezoom,5,49,false,3,2,certified,40% reduction in energy use,0
Dr,12/17/2000,Zloty,City Centre,3,Topiclounge,1,71,true,2,2,sustainable,30% reduction in energy use,0
Dr,6/16/2007,Peso,Town Square,4,Wordtune,4,94,false,3,3,reclaimed,30% reduction in energy use,0
Honorable,8/12/2015,Tenge,Town Square,2,Demizz,1,74,false,3,1,certified,40% reduction in energy use,1
Mrs,1/8/2009,Dollar,Town Square,5,Fiveclub,2,15,false,1,1,reclaimed,40% reduction in energy use,1
Mrs,8/1/2012,Rupiah,City Centre,4,Wikizz,3,19,true,1,2,sustainable,40% reduction in energy use,0
Mr,3/9/2015,Euro,Town Square,5,Wordpedia,5,74,true,1,2,reclaimed,40% reduction in energy use,0
Dr,5/14/2011,Kuna,Central District,4,Ailane,2,41,false,2,4,sustainable,30% reduction in energy use,0
Rev,5/6/2002,Rupiah,City Centre,4,Roomm,2,3,false,3,3,reclaimed,40% reduction in energy use,0
Mrs,10/12/2001,Peso,City Centre,5,Teklist,4,26,false,2,3,reclaimed,30% reduction in energy use,1
Dr,1/16/2014,Ruble,Town Square,3,Linkbridge,1,47,true,2,3,reclaimed,40% reduction in energy use,1
Honorable,10/12/2007,Pound,Central District,5,Twitterlist,4,83,true,2,2,reclaimed,40% reduction in energy use,0
Mr,6/26/2013,Yen,Town Square,4,Tagfeed,4,45,true,2,2,sustainable,30% reduction in energy use,1
Ms,8/31/2020,Rupiah,City Centre,5,Zoonoodle,2,72,true,3,4,certified,30% reduction in energy use,0
Mr,2/4/2010,Euro,City Centre,4,Voolith,5,50,false,2,2,sustainable,40% reduction in energy use,1
Mr,2/2/2021,Real,Town Square,4,Eare,1,52,true,3,3,reclaimed,30% reduction in energy use,0
Dr,9/23/2020,Dollar,City Centre,5,Shuffletag,3,25,true,2,4,certified,40% reduction in energy use,0
Rev,7/9/2005,Peso,Town Square,4,Tagfeed,3,13,true,3,4,certified,40% reduction in energy use,1
Mr,7/15/2018,Yuan Renminbi,City Centre,2,Ailane,2,80,true,2,1,certified,40% reduction in energy use,0
Rev,2/7/2011,Afghani,City Centre,4,Vimbo,2,34,true,2,4,certified,40% reduction in energy use,1
Ms,12/4/2013,Zloty,Central District,4,Edgeblab,2,12,true,2,1,certified,40% reduction in energy use,1
Honorable,5/7/2016,Euro,Town Square,3,Blogtag,3,81,false,2,1,certified,30% reduction in energy use,0
Ms,8/13/2015,Yuan Renminbi,Town Square,2,Katz,5,48,false,3,3,sustainable,30% reduction in energy use,0
Honorable,6/8/2014,Yuan Renminbi,Town Square,2,Twitterworks,4,47,false,2,4,sustainable,30% reduction in energy use,0
Mr,7/5/2000,Euro,Town Square,3,Devcast,1,77,false,2,1,certified,40% reduction in energy use,0
Rev,6/30/2015,Taka,City Centre,5,Ooba,1,75,true,3,4,certified,40% reduction in energy use,0
Rev,11/4/2017,Euro,Central District,5,Yakitri,4,8,false,3,1,certified,30% reduction in energy use,0
Ms,8/16/2002,Dollar,Central District,1,Kazio,1,82,true,3,3,certified,30% reduction in energy use,1
Mr,3/25/2001,Krona,Central District,4,Roodel,2,59,false,2,2,certified,40% reduction in energy use,1
Mrs,10/22/2011,Ruble,Town Square,2,Gigazoom,2,77,true,1,2,reclaimed,30% reduction in energy use,0
Ms,12/17/2019,Pound,Central District,3,Yacero,3,60,false,3,2,sustainable,40% reduction in energy use,0
Rev,8/3/2023,Dollar,City Centre,1,Meembee,5,73,false,2,2,sustainable,40% reduction in energy use,0
Mrs,4/4/2003,Rupiah,Central District,2,Linklinks,1,95,true,1,3,sustainable,40% reduction in energy use,0
Honorable,7/12/2007,Yuan Renminbi,Town Square,2,Trupe,1,4,false,2,3,reclaimed,40% reduction in energy use,0
Honorable,3/9/2004,Euro,Central District,1,Jaxspan,2,1,false,2,1,sustainable,30% reduction in energy use,0
Ms,7/17/2020,Kuna,Town Square,4,Vinder,3,14,true,3,2,certified,40% reduction in energy use,1
Rev,4/3/2009,Yuan Renminbi,Central District,3,Tagtune,4,46,false,2,4,sustainable,30% reduction in energy use,0
Dr,2/23/2013,Ringgit,Town Square,3,Devcast,1,39,false,2,2,reclaimed,30% reduction in energy use,1
Rev,12/9/2013,Euro,Town Square,2,Tagpad,1,68,false,2,4,reclaimed,30% reduction in energy use,0
Ms,8/25/2018,Ruble,Town Square,5,Cogidoo,5,92,true,3,4,sustainable,40% reduction in energy use,0
