# CSV-File created with merge-csv.com
# -----------------------------------------------------------

ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Eco Elementary School,2/7/2014,80813638,Renewable energy sources,Central District,LEED Silver,Green Building Solutions,ENERGY STAR Certified,1/27/2024,90,No,low-flow,local,40% reduction in energy use,false
Eco Elementary School,6/24/2020,65017366,Green roof,Metropolitan Area,LEED Silver,EcoBuild Constructions,ENERGY STAR Certified,10/29/2023,15,No,high-efficiency,local,40% reduction in energy use,true
Eco Elementary School,11/15/2020,77355416,Rainwater harvesting,Town Square,LEED Silver,Green Architects Inc.,LEED,10/6/2023,95,Yes,low-flow,reclaimed,30% reduction in energy use,false
Green Office Building,3/23/2019,29060969,Rainwater harvesting,Metropolitan Area,LEED Certified,Green Architects Inc.,Green Globes,2/23/2024,6,Limited,low-flow,reclaimed,25% reduction in energy use,false
Eco Elementary School,9/21/2009,56911060,Renewable energy sources,City Centre,LEED Certified,Eco-Friendly Designs,LEED,11/9/2023,100,Limited,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,10/26/2008,52604799,Renewable energy sources,Downtown,LEED Certified,Eco-Friendly Designs,LEED,3/5/2024,93,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,3/20/2021,49065484,Rainwater harvesting,Central District,LEED Silver,Green Building Solutions,ISO 14001,9/25/2023,45,Limited,high-efficiency,certified,25% reduction in energy use,false
Sustainable Library,7/31/2006,33815921,Green roof,Metropolitan Area,LEED Certified,EcoBuild Constructions,ISO 14001,11/24/2023,18,Limited,high-efficiency,recycled,30% reduction in energy use,false
Sustainable Library,7/20/2019,14828083,Green roof,Metropolitan Area,LEED Silver,Sustainable Builders,LEED,6/14/2023,1,Limited,low-flow,reclaimed,40% reduction in energy use,false
Eco Elementary School,8/7/2007,9964994,Renewable energy sources,Central District,LEED Gold,Green Building Solutions,ENERGY STAR Certified,7/25/2023,3,Limited,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,2/3/2019,465867,Rainwater harvesting,Downtown,LEED Certified,Sustainable Builders,LEED,2/11/2024,8,Yes,high-efficiency,sustainable,30% reduction in energy use,true
Green Office Building,2/6/2015,30014836,LEED Platinum certified,Central District,Not Applicable,Eco-Friendly Designs,LEED,11/6/2023,0,Yes,low-flow,reclaimed,40% reduction in energy use,true
Sustainable Library,3/6/2019,20413417,Energy-efficient design,City Centre,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,7/24/2023,99,Yes,low-flow,certified,40% reduction in energy use,true
Green Office Building,12/4/2013,93934625,LEED Platinum certified,City Centre,LEED Silver,Sustainable Builders,Green Globes,7/25/2023,48,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Green Office Building,8/11/2023,98947160,Renewable energy sources,Central District,LEED Silver,Sustainable Builders,LEED,3/3/2024,34,Limited,low-flow,certified,40% reduction in energy use,true
Eco Elementary School,6/18/2016,31491363,Renewable energy sources,Central District,LEED Gold,EcoBuild Constructions,LEED,1/15/2024,96,Yes,low-flow,certified,40% reduction in energy use,false
Eco Elementary School,5/21/2007,11749067,Renewable energy sources,Town Square,LEED Certified,Eco-Friendly Designs,LEED,2/6/2024,51,Yes,high-efficiency,local,40% reduction in energy use,false
Eco Elementary School,5/15/2020,74260583,Green roof,Downtown,LEED Certified,Green Building Solutions,ENERGY STAR Certified,7/3/2023,83,Limited,low-flow,certified,40% reduction in energy use,true
Eco Elementary School,4/22/2014,16537136,Green roof,City Centre,LEED Certified,Sustainable Builders,LEED,6/26/2023,52,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Eco Elementary School,4/7/2012,27857046,Energy-efficient design,Downtown,LEED Gold,EcoBuild Constructions,ENERGY STAR Certified,2/9/2024,67,Yes,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,9/25/2017,82771794,Green roof,Downtown,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,7/30/2023,68,Yes,high-efficiency,local,25% reduction in energy use,false
Sustainable Library,9/20/2006,24485185,Rainwater harvesting,Central District,LEED Silver,Sustainable Builders,LEED,7/22/2023,5,Limited,low-flow,certified,40% reduction in energy use,false
Green Office Building,11/8/2017,13707997,Energy-efficient design,Metropolitan Area,LEED Certified,Eco-Friendly Designs,ENERGY STAR Certified,9/28/2023,18,Limited,low-flow,certified,30% reduction in energy use,false
Sustainable Library,4/5/2015,13044900,LEED Platinum certified,Central District,LEED Silver,EcoBuild Constructions,LEED,9/22/2023,44,Yes,high-efficiency,reclaimed,30% reduction in energy use,false
Sustainable Library,10/14/2012,46933292,Energy-efficient design,Downtown,LEED Certified,Sustainable Builders,LEED,1/31/2024,90,Yes,low-flow,reclaimed,40% reduction in energy use,false
Eco Elementary School,5/17/2015,62997642,Energy-efficient design,Metropolitan Area,LEED Certified,Green Building Solutions,LEED,2/28/2024,28,No,high-efficiency,reclaimed,30% reduction in energy use,true
Sustainable Library,3/19/2009,3672143,Energy-efficient design,Central District,LEED Platinum,Green Architects Inc.,LEED,9/22/2023,82,No,low-flow,certified,25% reduction in energy use,false
Eco Elementary School,4/12/2012,28905015,Rainwater harvesting,Downtown,LEED Silver,Green Architects Inc.,LEED,6/20/2023,2,Yes,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,7/29/2008,18897276,Energy-efficient design,Central District,LEED Silver,Sustainable Builders,LEED,12/29/2023,85,Limited,low-flow,sustainable,40% reduction in energy use,true
Eco Elementary School,7/25/2011,44986322,LEED Platinum certified,Metropolitan Area,LEED Gold,Eco-Friendly Designs,ISO 14001,11/25/2023,52,Yes,high-efficiency,recycled,40% reduction in energy use,false
Eco Elementary School,12/31/2010,55240629,Energy-efficient design,Downtown,LEED Gold,EcoBuild Constructions,LEED,5/26/2023,65,Yes,high-efficiency,local,40% reduction in energy use,false
Eco Elementary School,8/9/2021,45103316,Green roof,Downtown,Not Applicable,Eco-Friendly Designs,LEED,6/19/2023,39,Yes,low-flow,certified,40% reduction in energy use,true
Green Office Building,6/3/2017,80750163,Rainwater harvesting,Metropolitan Area,LEED Gold,Eco-Friendly Designs,LEED,7/30/2023,5,Yes,high-efficiency,local,40% reduction in energy use,false
Eco Elementary School,8/10/2019,52558071,LEED Platinum certified,City Centre,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,10/22/2023,7,Yes,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,11/29/2018,50572285,Green roof,Metropolitan Area,LEED Silver,Sustainable Builders,LEED,6/14/2023,98,Yes,low-flow,reclaimed,30% reduction in energy use,false
Green Office Building,4/14/2021,18183910,Rainwater harvesting,Town Square,LEED Certified,Eco-Friendly Designs,ENERGY STAR Certified,9/3/2023,92,Yes,low-flow,certified,30% reduction in energy use,false
Sustainable Library,9/29/2011,92699770,Green roof,Metropolitan Area,LEED Gold,Green Building Solutions,ENERGY STAR Certified,1/6/2024,39,No,low-flow,recycled,30% reduction in energy use,false
Sustainable Library,10/15/2014,36871255,Green roof,City Centre,LEED Certified,Eco-Friendly Designs,LEED,6/11/2023,25,Limited,high-efficiency,sustainable,30% reduction in energy use,true
Sustainable Library,12/27/2010,4223134,LEED Platinum certified,Central District,LEED Certified,EcoBuild Constructions,ISO 14001,12/1/2023,48,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Eco Elementary School,7/9/2007,17916087,Rainwater harvesting,Downtown,LEED Certified,Eco-Friendly Designs,LEED,6/7/2023,47,Yes,low-flow,certified,25% reduction in energy use,true
Sustainable Library,10/29/2015,25527079,Rainwater harvesting,Downtown,LEED Certified,Eco-Friendly Designs,LEED,11/2/2023,60,Limited,low-flow,local,40% reduction in energy use,true
Sustainable Library,1/11/2018,89225579,Energy-efficient design,Town Square,LEED Certified,Green Building Solutions,Green Globes,8/1/2023,94,Yes,high-efficiency,local,40% reduction in energy use,false
Sustainable Library,1/31/2016,82699411,Energy-efficient design,City Centre,LEED Gold,EcoBuild Constructions,LEED,12/14/2023,80,Yes,low-flow,certified,40% reduction in energy use,false
Sustainable Library,2/17/2016,52968359,Energy-efficient design,City Centre,LEED Silver,Eco-Friendly Designs,LEED,12/17/2023,13,Limited,low-flow,sustainable,40% reduction in energy use,false
Green Office Building,6/23/2018,25383331,Rainwater harvesting,Downtown,LEED Certified,Sustainable Builders,LEED,1/28/2024,92,Yes,low-flow,certified,40% reduction in energy use,false
Green Office Building,9/18/2011,70566443,Renewable energy sources,Downtown,LEED Certified,Eco-Friendly Designs,LEED,8/6/2023,67,Limited,low-flow,reclaimed,40% reduction in energy use,false
Eco Elementary School,10/20/2013,50198989,Energy-efficient design,City Centre,LEED Gold,Sustainable Builders,ISO 14001,10/20/2023,5,No,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,4/6/2012,94438134,Rainwater harvesting,City Centre,LEED Gold,EcoBuild Constructions,LEED,1/4/2024,72,Yes,low-flow,certified,30% reduction in energy use,true
Green Office Building,2/3/2009,52124379,Renewable energy sources,Downtown,LEED Certified,Eco-Friendly Designs,LEED,2/21/2024,39,Yes,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,5/28/2011,53522064,Renewable energy sources,Downtown,LEED Silver,Sustainable Builders,LEED,12/1/2023,4,Yes,low-flow,local,30% reduction in energy use,true
Green Office Building,11/3/2012,79110290,Rainwater harvesting,Downtown,LEED Gold,Green Building Solutions,LEED,10/18/2023,69,Limited,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,2/10/2006,28836297,Energy-efficient design,City Centre,LEED Certified,Eco-Friendly Designs,LEED,5/25/2023,88,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Sustainable Library,8/24/2016,37470927,LEED Platinum certified,City Centre,LEED Platinum,Green Building Solutions,LEED,9/20/2023,28,Yes,high-efficiency,certified,30% reduction in energy use,false
Eco Elementary School,7/8/2015,89778352,Renewable energy sources,Town Square,LEED Silver,EcoBuild Constructions,LEED,7/19/2023,75,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,3/4/2015,6388222,Renewable energy sources,Central District,LEED Certified,Sustainable Builders,ENERGY STAR Certified,9/14/2023,52,Yes,high-efficiency,reclaimed,40% reduction in energy use,false
Green Office Building,4/16/2020,80210595,Green roof,Town Square,LEED Certified,Green Building Solutions,LEED,1/21/2024,72,Limited,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,6/2/2012,88319062,Renewable energy sources,Downtown,LEED Silver,Eco-Friendly Designs,LEED,2/20/2024,65,Limited,high-efficiency,sustainable,30% reduction in energy use,true
Sustainable Library,7/19/2011,37691814,Rainwater harvesting,City Centre,LEED Silver,EcoBuild Constructions,ENERGY STAR Certified,5/21/2023,52,Limited,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,2/16/2008,85220599,Energy-efficient design,Metropolitan Area,LEED Certified,Green Architects Inc.,LEED,7/12/2023,59,Limited,low-flow,sustainable,40% reduction in energy use,false
Sustainable Library,8/12/2016,28392550,LEED Platinum certified,Downtown,LEED Certified,Green Building Solutions,ENERGY STAR Certified,6/2/2023,26,Yes,low-flow,reclaimed,40% reduction in energy use,false
Sustainable Library,10/1/2017,50230734,Energy-efficient design,Metropolitan Area,LEED Silver,EcoBuild Constructions,ISO 14001,11/6/2023,93,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,7/23/2012,24947694,LEED Platinum certified,City Centre,LEED Gold,EcoBuild Constructions,LEED,8/17/2023,91,No,high-efficiency,certified,30% reduction in energy use,true
Sustainable Library,6/8/2017,22912665,LEED Platinum certified,Metropolitan Area,LEED Silver,Eco-Friendly Designs,LEED,2/2/2024,44,Limited,low-flow,recycled,25% reduction in energy use,false
Eco Elementary School,5/25/2020,54221558,LEED Platinum certified,City Centre,LEED Gold,Green Building Solutions,LEED,8/21/2023,0,Limited,low-flow,certified,25% reduction in energy use,false
Green Office Building,7/6/2016,47806721,Green roof,Downtown,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,7/17/2023,60,Limited,low-flow,reclaimed,40% reduction in energy use,false
Eco Elementary School,7/14/2022,58355174,Green roof,Town Square,LEED Gold,Sustainable Builders,LEED,1/13/2024,63,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Eco Elementary School,7/14/2016,98284101,Renewable energy sources,Central District,LEED Gold,Eco-Friendly Designs,Green Globes,11/20/2023,92,No,high-efficiency,certified,25% reduction in energy use,true
Sustainable Library,8/17/2021,61499529,Green roof,Town Square,Not Applicable,Green Building Solutions,LEED,7/5/2023,43,No,low-flow,certified,30% reduction in energy use,false
Sustainable Library,12/11/2021,31046279,Energy-efficient design,Town Square,LEED Gold,EcoBuild Constructions,LEED,1/13/2024,89,No,low-flow,certified,40% reduction in energy use,false
Green Office Building,7/6/2013,99299149,Energy-efficient design,Town Square,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,7/16/2023,84,Limited,low-flow,reclaimed,30% reduction in energy use,true
Green Office Building,5/23/2009,11114468,Renewable energy sources,Metropolitan Area,LEED Silver,Green Architects Inc.,LEED,1/16/2024,64,Yes,high-efficiency,local,30% reduction in energy use,false
Sustainable Library,7/18/2017,85165276,LEED Platinum certified,City Centre,LEED Certified,Eco-Friendly Designs,LEED,11/19/2023,63,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,12/4/2013,22357684,Rainwater harvesting,Downtown,LEED Certified,Green Architects Inc.,LEED,8/29/2023,67,Yes,low-flow,sustainable,30% reduction in energy use,false
Green Office Building,3/9/2022,12095347,Rainwater harvesting,Central District,LEED Silver,Green Architects Inc.,LEED,2/11/2024,1,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Sustainable Library,4/6/2006,41728302,Renewable energy sources,Metropolitan Area,LEED Silver,Eco-Friendly Designs,LEED,5/23/2023,87,Limited,high-efficiency,local,30% reduction in energy use,false
Eco Elementary School,9/13/2006,58326797,Rainwater harvesting,Downtown,LEED Certified,Green Building Solutions,LEED,10/19/2023,94,Yes,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,10/28/2020,26618066,LEED Platinum certified,Metropolitan Area,LEED Certified,Green Building Solutions,LEED,8/11/2023,56,Limited,high-efficiency,reclaimed,30% reduction in energy use,false
Eco Elementary School,7/13/2012,25666981,LEED Platinum certified,Downtown,LEED Silver,Green Architects Inc.,LEED,12/7/2023,68,Limited,high-efficiency,reclaimed,30% reduction in energy use,true
Eco Elementary School,6/13/2012,22143403,Rainwater harvesting,Metropolitan Area,LEED Certified,Green Building Solutions,ISO 14001,6/4/2023,8,Yes,high-efficiency,reclaimed,30% reduction in energy use,true
Sustainable Library,10/26/2011,38607323,Rainwater harvesting,City Centre,LEED Platinum,Green Architects Inc.,LEED,2/15/2024,36,Yes,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,10/28/2019,74135290,LEED Platinum certified,City Centre,LEED Certified,Green Building Solutions,LEED,7/15/2023,31,No,low-flow,certified,40% reduction in energy use,true
Eco Elementary School,11/30/2014,53272031,Renewable energy sources,Downtown,LEED Silver,Green Building Solutions,ISO 14001,9/15/2023,63,Yes,high-efficiency,recycled,40% reduction in energy use,false
Eco Elementary School,5/12/2016,72804877,Green roof,Central District,LEED Silver,EcoBuild Constructions,LEED,1/30/2024,11,Yes,high-efficiency,local,40% reduction in energy use,false
Eco Elementary School,1/12/2008,32496459,Green roof,Downtown,Not Applicable,Green Building Solutions,ENERGY STAR Certified,11/22/2023,58,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Sustainable Library,8/1/2021,62392502,Energy-efficient design,Metropolitan Area,LEED Gold,Eco-Friendly Designs,Green Globes,9/23/2023,68,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Green Office Building,9/30/2023,14156457,Renewable energy sources,Downtown,LEED Gold,Eco-Friendly Designs,Green Globes,12/9/2023,28,Limited,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,9/11/2020,25276923,Green roof,Metropolitan Area,LEED Certified,Green Building Solutions,ENERGY STAR Certified,8/18/2023,82,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,8/5/2012,53193826,Green roof,Central District,LEED Certified,Eco-Friendly Designs,Green Globes,10/20/2023,39,Yes,high-efficiency,local,40% reduction in energy use,true
Eco Elementary School,11/11/2022,39104258,Green roof,City Centre,LEED Certified,EcoBuild Constructions,Green Globes,8/30/2023,92,Limited,low-flow,certified,40% reduction in energy use,true
Green Office Building,7/29/2023,35031465,Renewable energy sources,Metropolitan Area,LEED Certified,Sustainable Builders,LEED,2/18/2024,70,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Green Office Building,6/1/2007,8832588,Rainwater harvesting,Central District,LEED Certified,Green Building Solutions,Green Globes,12/31/2023,16,Yes,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,1/9/2009,64430503,LEED Platinum certified,Town Square,LEED Certified,Green Building Solutions,LEED,7/4/2023,20,No,low-flow,certified,30% reduction in energy use,true
Eco Elementary School,7/20/2019,69423250,Green roof,Metropolitan Area,LEED Silver,Sustainable Builders,Green Globes,10/14/2023,37,Limited,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,12/19/2016,1929122,Green roof,Downtown,LEED Silver,Green Building Solutions,LEED,6/15/2023,15,No,low-flow,reclaimed,30% reduction in energy use,true
Eco Elementary School,6/4/2016,69483570,Rainwater harvesting,Metropolitan Area,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,1/8/2024,65,Limited,low-flow,reclaimed,30% reduction in energy use,true
Sustainable Library,10/28/2010,45222226,LEED Platinum certified,Metropolitan Area,LEED Silver,Sustainable Builders,LEED,3/1/2024,85,No,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,4/1/2012,91703479,LEED Platinum certified,Metropolitan Area,LEED Silver,Sustainable Builders,Green Globes,10/20/2023,22,Yes,high-efficiency,local,25% reduction in energy use,true
Eco Elementary School,1/10/2012,5337828,Renewable energy sources,Metropolitan Area,LEED Certified,EcoBuild Constructions,LEED,7/10/2023,38,No,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,4/21/2014,89478347,Renewable energy sources,Central District,LEED Silver,Green Building Solutions,ISO 14001,11/9/2023,84,No,high-efficiency,sustainable,30% reduction in energy use,true
Green Office Building,11/7/2008,14317625,Energy-efficient design,Downtown,LEED Certified,Sustainable Builders,LEED,9/23/2023,81,Yes,low-flow,local,40% reduction in energy use,false
Sustainable Library,1/6/2007,57378625,Green roof,Town Square,LEED Gold,EcoBuild Constructions,LEED,8/24/2023,35,Yes,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,8/30/2007,43083973,Energy-efficient design,Town Square,LEED Silver,Green Building Solutions,Green Globes,6/2/2023,31,Limited,low-flow,recycled,30% reduction in energy use,true
Green Office Building,7/5/2019,63543610,Energy-efficient design,Metropolitan Area,LEED Certified,Green Architects Inc.,LEED,8/29/2023,31,Limited,low-flow,sustainable,30% reduction in energy use,false
Eco Elementary School,2/11/2023,44538949,Green roof,Metropolitan Area,Not Applicable,Green Architects Inc.,LEED,1/1/2024,100,Limited,high-efficiency,recycled,25% reduction in energy use,true
Sustainable Library,10/30/2019,46741036,Green roof,Central District,LEED Gold,Green Building Solutions,ENERGY STAR Certified,10/19/2023,93,Limited,low-flow,reclaimed,30% reduction in energy use,false
Eco Elementary School,5/10/2011,76137219,Green roof,Town Square,LEED Silver,Green Architects Inc.,LEED,2/28/2024,37,Limited,low-flow,certified,40% reduction in energy use,false
Eco Elementary School,10/16/2014,23250195,LEED Platinum certified,City Centre,LEED Certified,EcoBuild Constructions,LEED,5/25/2023,77,No,low-flow,sustainable,40% reduction in energy use,true
Sustainable Library,1/15/2012,45364422,Rainwater harvesting,Central District,LEED Platinum,Green Building Solutions,LEED,11/24/2023,28,Yes,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,8/31/2011,32301920,Rainwater harvesting,Town Square,LEED Certified,EcoBuild Constructions,LEED,10/7/2023,56,Yes,high-efficiency,sustainable,30% reduction in energy use,false
Green Office Building,6/9/2023,79375921,Green roof,Downtown,LEED Certified,Green Architects Inc.,LEED,6/22/2023,55,Limited,high-efficiency,certified,30% reduction in energy use,true
Sustainable Library,8/8/2012,53401630,Green roof,City Centre,LEED Certified,Green Building Solutions,ENERGY STAR Certified,12/25/2023,29,Yes,high-efficiency,local,30% reduction in energy use,true
Green Office Building,4/11/2009,28742148,LEED Platinum certified,Downtown,LEED Gold,Sustainable Builders,LEED,12/26/2023,95,Yes,low-flow,certified,25% reduction in energy use,true
Eco Elementary School,6/6/2014,75744660,Energy-efficient design,City Centre,LEED Gold,Green Architects Inc.,ENERGY STAR Certified,9/29/2023,75,No,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,1/2/2022,79695699,Energy-efficient design,Downtown,LEED Certified,Green Building Solutions,LEED,7/25/2023,96,Limited,low-flow,certified,25% reduction in energy use,true
Sustainable Library,8/30/2021,38152329,Green roof,City Centre,LEED Silver,Eco-Friendly Designs,LEED,2/16/2024,3,No,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,10/6/2012,9389379,Renewable energy sources,Central District,LEED Silver,Green Building Solutions,ISO 14001,5/28/2023,88,No,low-flow,certified,40% reduction in energy use,false
Eco Elementary School,1/21/2016,39817519,Renewable energy sources,Downtown,LEED Certified,Green Architects Inc.,LEED,6/15/2023,63,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Eco Elementary School,5/2/2006,2312154,Green roof,City Centre,LEED Gold,Green Architects Inc.,LEED,7/17/2023,74,Yes,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,6/23/2023,82074840,Energy-efficient design,Central District,LEED Silver,Sustainable Builders,LEED,11/10/2023,44,No,low-flow,certified,30% reduction in energy use,false
Eco Elementary School,8/24/2012,43538867,Rainwater harvesting,Metropolitan Area,LEED Silver,Green Building Solutions,ENERGY STAR Certified,6/5/2023,24,Limited,high-efficiency,recycled,40% reduction in energy use,true
Green Office Building,11/13/2005,74447160,Rainwater harvesting,Downtown,LEED Silver,Sustainable Builders,ENERGY STAR Certified,10/14/2023,92,Yes,high-efficiency,sustainable,40% reduction in energy use,false
Sustainable Library,9/17/2009,2754615,LEED Platinum certified,City Centre,LEED Gold,Sustainable Builders,LEED,2/16/2024,34,Limited,high-efficiency,certified,30% reduction in energy use,true
Sustainable Library,6/27/2007,15761118,Energy-efficient design,Central District,Not Applicable,EcoBuild Constructions,LEED,6/6/2023,70,Yes,high-efficiency,certified,30% reduction in energy use,true
Eco Elementary School,6/9/2009,32107433,Energy-efficient design,Central District,Not Applicable,Eco-Friendly Designs,LEED,8/18/2023,3,Yes,high-efficiency,sustainable,30% reduction in energy use,true
Eco Elementary School,2/4/2021,44853109,Rainwater harvesting,Town Square,LEED Certified,Sustainable Builders,LEED,8/11/2023,16,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Green Office Building,12/19/2005,69223192,Energy-efficient design,Downtown,LEED Certified,EcoBuild Constructions,LEED,7/20/2023,85,No,high-efficiency,certified,30% reduction in energy use,false
Sustainable Library,9/30/2017,39137771,Green roof,Town Square,LEED Silver,Green Building Solutions,LEED,8/25/2023,1,Yes,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,8/4/2017,30987299,LEED Platinum certified,Town Square,LEED Silver,EcoBuild Constructions,ISO 14001,6/8/2023,42,Limited,high-efficiency,recycled,40% reduction in energy use,true
Eco Elementary School,8/5/2013,32543791,LEED Platinum certified,Central District,LEED Silver,Sustainable Builders,ISO 14001,7/6/2023,28,Yes,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,11/15/2021,98905454,Rainwater harvesting,Central District,LEED Certified,Green Building Solutions,LEED,10/28/2023,83,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,9/17/2007,38648675,LEED Platinum certified,Downtown,LEED Silver,EcoBuild Constructions,Green Globes,12/23/2023,42,Limited,low-flow,local,40% reduction in energy use,true
Sustainable Library,5/7/2011,67837592,Energy-efficient design,City Centre,LEED Certified,Sustainable Builders,LEED,1/27/2024,14,Yes,high-efficiency,sustainable,40% reduction in energy use,false
Sustainable Library,8/25/2008,61932225,Rainwater harvesting,Downtown,Not Applicable,EcoBuild Constructions,LEED,7/12/2023,56,No,high-efficiency,sustainable,25% reduction in energy use,true
Green Office Building,8/23/2023,30741456,Renewable energy sources,City Centre,LEED Gold,Green Architects Inc.,LEED,6/5/2023,62,Limited,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,7/6/2014,58658508,Green roof,City Centre,LEED Silver,EcoBuild Constructions,LEED,6/4/2023,10,Limited,low-flow,reclaimed,40% reduction in energy use,true
Green Office Building,2/2/2017,31486794,Renewable energy sources,City Centre,Not Applicable,EcoBuild Constructions,ENERGY STAR Certified,6/25/2023,28,Limited,high-efficiency,recycled,40% reduction in energy use,true
Sustainable Library,6/4/2015,20576489,LEED Platinum certified,Central District,LEED Certified,EcoBuild Constructions,LEED,10/26/2023,77,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Eco Elementary School,10/8/2016,6373970,Renewable energy sources,Central District,LEED Certified,Eco-Friendly Designs,LEED,7/30/2023,79,No,high-efficiency,certified,30% reduction in energy use,false
Eco Elementary School,8/1/2013,27629920,Rainwater harvesting,Central District,LEED Certified,Green Architects Inc.,LEED,10/11/2023,88,Limited,low-flow,reclaimed,40% reduction in energy use,true
Eco Elementary School,8/17/2006,37355316,Green roof,Central District,LEED Platinum,Sustainable Builders,LEED,1/4/2024,49,Limited,low-flow,sustainable,40% reduction in energy use,true
Sustainable Library,9/8/2008,99622849,Rainwater harvesting,Central District,LEED Gold,Green Architects Inc.,LEED,8/7/2023,8,No,high-efficiency,recycled,40% reduction in energy use,true
Eco Elementary School,12/11/2019,89209605,Renewable energy sources,Town Square,LEED Certified,EcoBuild Constructions,ENERGY STAR Certified,9/5/2023,27,Yes,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,4/25/2022,6194197,Renewable energy sources,Downtown,LEED Silver,Green Building Solutions,LEED,5/17/2023,57,Yes,high-efficiency,certified,25% reduction in energy use,false
Sustainable Library,10/24/2021,6737792,Renewable energy sources,Central District,Not Applicable,Sustainable Builders,LEED,2/8/2024,94,Yes,high-efficiency,sustainable,40% reduction in energy use,false
Eco Elementary School,10/19/2014,21352244,LEED Platinum certified,Downtown,LEED Certified,Green Building Solutions,ISO 14001,9/8/2023,47,Yes,high-efficiency,local,30% reduction in energy use,false
Eco Elementary School,2/3/2012,44569061,Rainwater harvesting,City Centre,LEED Silver,Green Building Solutions,LEED,10/9/2023,6,No,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,12/3/2007,91465436,Renewable energy sources,Metropolitan Area,LEED Silver,EcoBuild Constructions,ISO 14001,5/31/2023,74,Limited,high-efficiency,reclaimed,30% reduction in energy use,true
Eco Elementary School,2/22/2009,33348060,Energy-efficient design,City Centre,LEED Silver,EcoBuild Constructions,LEED,10/8/2023,38,Limited,low-flow,certified,30% reduction in energy use,false
Green Office Building,10/2/2013,75934908,LEED Platinum certified,Town Square,LEED Platinum,Sustainable Builders,ENERGY STAR Certified,5/15/2023,82,Limited,low-flow,sustainable,40% reduction in energy use,true
Sustainable Library,4/16/2015,10110809,LEED Platinum certified,Downtown,LEED Certified,Eco-Friendly Designs,LEED,9/14/2023,84,Limited,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,7/2/2011,48663521,Rainwater harvesting,Metropolitan Area,LEED Gold,Green Building Solutions,Green Globes,2/8/2024,8,Yes,low-flow,reclaimed,40% reduction in energy use,true
