ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Eco Elementary School,3/30/2014,92095951,Renewable energy sources,Central District,4 Level - LEED Gold,Eco-Friendly Designs,4 Level -  ISO 14001,7/2/2023,86,1- No,2 - high-efficiency,5 - certified,25% reduction in energy use,true
Sustainable Library,8/14/2016,19262134,LEED Platinum certified,Town Square,5 Level - LEED Platinum,Eco-Friendly Designs,4 Level -  ISO 14001,11/18/2023,48,2 - Limited,1 - low-flow,3 - sustainable,25% reduction in energy use,false
Sustainable Library,1/30/2010,78888207,Rainwater harvesting,Metropolitan Area,4 Level - LEED Gold,Sustainable Builders,4 Level -  ISO 14001,6/26/2023,63,3 - Yes,2 - high-efficiency,5 - certified,25% reduction in energy use,false
Green Office Building,11/28/2015,79059465,LEED Platinum certified,Downtown,4 Level - LEED Gold,EcoBuild Constructions,3 Level - Green Globes,1/21/2024,73,3 - Yes,1 - low-flow,3 - sustainable,40% reduction in energy use,false
Eco Elementary School,7/15/2006,64371738,LEED Platinum certified,Metropolitan Area,5 Level - LEED Platinum,EcoBuild Constructions,2 Level - LEED,6/3/2023,52,2 - Limited,2 - high-efficiency,2 - recycled,40% reduction in energy use,false
Sustainable Library,1/21/2019,94663759,Rainwater harvesting,Central District,5 Level - LEED Platinum,Sustainable Builders,2 Level - LEED,8/1/2023,91,3 - Yes,2 - high-efficiency,3 - sustainable,25% reduction in energy use,true
Eco Elementary School,3/28/2022,25942103,Renewable energy sources,Metropolitan Area,1 Level - Not Applicable,Green Architects Inc.,3 Level - Green Globes,6/24/2023,35,3 - Yes,2 - high-efficiency,5 - certified,25% reduction in energy use,false
Sustainable Library,12/3/2022,66540242,Renewable energy sources,Metropolitan Area,5 Level - LEED Platinum,Eco-Friendly Designs,2 Level - LEED,7/16/2023,89,3 - Yes,2 - high-efficiency,2 - recycled,40% reduction in energy use,false
Green Office Building,8/20/2015,57905609,Renewable energy sources,Downtown,5 Level - LEED Platinum,Green Architects Inc.,4 Level -  ISO 14001,11/30/2023,29,3 - Yes,1 - low-flow,3 - sustainable,40% reduction in energy use,true
Eco Elementary School,7/19/2020,83637368,Green roof,Metropolitan Area,5 Level - LEED Platinum,EcoBuild Constructions,2 Level - LEED,9/24/2023,44,2 - Limited,2 - high-efficiency,3 - sustainable,25% reduction in energy use,true
Sustainable Library,3/20/2022,97705907,Renewable energy sources,Downtown,3 Level - LEED Silver,EcoBuild Constructions,3 Level - Green Globes,11/5/2023,98,3 - Yes,2 - high-efficiency,3 - sustainable,25% reduction in energy use,false
Sustainable Library,4/9/2008,34865383,Renewable energy sources,Central District,4 Level - LEED Gold,Eco-Friendly Designs,4 Level -  ISO 14001,2/6/2024,40,3 - Yes,1 - low-flow,5 - certified,40% reduction in energy use,true
Green Office Building,3/20/2010,74006655,Green roof,Town Square,2 Level - LEED Certified,Green Architects Inc.,3 Level - Green Globes,9/27/2023,72,2 - Limited,2 - high-efficiency,4 - reclaimed,30% reduction in energy use,false
Eco Elementary School,5/18/2006,38503557,Green roof,City Centre,2 Level - LEED Certified,EcoBuild Constructions,1 Level - ENERGY STAR Certified,9/4/2023,48,2 - Limited,1 - low-flow,5 - certified,40% reduction in energy use,true
Eco Elementary School,6/16/2019,36761350,Rainwater harvesting,City Centre,2 Level - LEED Certified,Green Architects Inc.,1 Level - ENERGY STAR Certified,10/9/2023,70,2 - Limited,1 - low-flow,2 - recycled,25% reduction in energy use,false
Sustainable Library,8/30/2006,12993465,Energy-efficient design,City Centre,5 Level - LEED Platinum,EcoBuild Constructions,3 Level - Green Globes,10/11/2023,56,3 - Yes,1 - low-flow,5 - certified,25% reduction in energy use,true
Eco Elementary School,1/14/2019,19357739,Green roof,Town Square,5 Level - LEED Platinum,Sustainable Builders,2 Level - LEED,5/22/2023,63,2 - Limited,1 - low-flow,2 - recycled,40% reduction in energy use,false
Eco Elementary School,8/3/2008,72550571,Green roof,Downtown,3 Level - LEED Silver,Sustainable Builders,4 Level -  ISO 14001,8/29/2023,79,2 - Limited,2 - high-efficiency,3 - sustainable,30% reduction in energy use,true
Eco Elementary School,10/29/2008,80255453,LEED Platinum certified,Metropolitan Area,5 Level - LEED Platinum,Green Architects Inc.,4 Level -  ISO 14001,6/14/2023,35,3 - Yes,2 - high-efficiency,2 - recycled,25% reduction in energy use,false
Sustainable Library,8/13/2018,3223000,Renewable energy sources,City Centre,5 Level - LEED Platinum,Green Building Solutions,4 Level -  ISO 14001,11/29/2023,68,3 - Yes,2 - high-efficiency,3 - sustainable,40% reduction in energy use,false
Eco Elementary School,5/21/2013,34282252,Renewable energy sources,City Centre,1 Level - Not Applicable,Green Architects Inc.,3 Level - Green Globes,2/22/2024,38,3 - Yes,2 - high-efficiency,3 - sustainable,25% reduction in energy use,false
Sustainable Library,5/12/2010,90508418,LEED Platinum certified,City Centre,2 Level - LEED Certified,Green Building Solutions,4 Level -  ISO 14001,10/27/2023,55,3 - Yes,2 - high-efficiency,3 - sustainable,30% reduction in energy use,true
Green Office Building,1/6/2021,29117543,Energy-efficient design,Downtown,3 Level - LEED Silver,Green Building Solutions,2 Level - LEED,1/3/2024,13,2 - Limited,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Green Office Building,11/24/2019,2942725,Renewable energy sources,Downtown,5 Level - LEED Platinum,Green Architects Inc.,3 Level - Green Globes,8/11/2023,62,3 - Yes,1 - low-flow,4 - reclaimed,25% reduction in energy use,false
Eco Elementary School,6/16/2016,39895438,Renewable energy sources,City Centre,5 Level - LEED Platinum,Sustainable Builders,3 Level - Green Globes,10/17/2023,68,1- No,2 - high-efficiency,5 - certified,25% reduction in energy use,false
Eco Elementary School,5/18/2017,91657520,LEED Platinum certified,Town Square,5 Level - LEED Platinum,EcoBuild Constructions,4 Level -  ISO 14001,7/2/2023,75,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Eco Elementary School,2/7/2009,98302325,Energy-efficient design,Central District,5 Level - LEED Platinum,Eco-Friendly Designs,4 Level -  ISO 14001,5/16/2023,60,3 - Yes,1 - low-flow,1 - local,30% reduction in energy use,false
Green Office Building,5/25/2023,24794596,Green roof,Town Square,2 Level - LEED Certified,Eco-Friendly Designs,2 Level - LEED,8/1/2023,63,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,true
Sustainable Library,9/6/2010,38357198,Energy-efficient design,Town Square,4 Level - LEED Gold,EcoBuild Constructions,4 Level -  ISO 14001,12/6/2023,4,2 - Limited,1 - low-flow,5 - certified,30% reduction in energy use,true
Green Office Building,2/24/2009,14577144,Energy-efficient design,Central District,3 Level - LEED Silver,EcoBuild Constructions,2 Level - LEED,7/17/2023,4,2 - Limited,2 - high-efficiency,4 - reclaimed,30% reduction in energy use,false
Eco Elementary School,9/15/2013,74381929,Rainwater harvesting,Metropolitan Area,5 Level - LEED Platinum,EcoBuild Constructions,2 Level - LEED,1/10/2024,35,3 - Yes,2 - high-efficiency,2 - recycled,30% reduction in energy use,false
Eco Elementary School,11/27/2012,77065683,Rainwater harvesting,City Centre,3 Level - LEED Silver,Sustainable Builders,4 Level -  ISO 14001,7/30/2023,78,2 - Limited,1 - low-flow,3 - sustainable,25% reduction in energy use,false
Sustainable Library,5/17/2023,36752130,Energy-efficient design,Town Square,3 Level - LEED Silver,Green Architects Inc.,1 Level - ENERGY STAR Certified,11/16/2023,82,1- No,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Eco Elementary School,7/7/2018,83586848,LEED Platinum certified,Metropolitan Area,5 Level - LEED Platinum,Eco-Friendly Designs,2 Level - LEED,10/23/2023,80,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Eco Elementary School,1/9/2016,34213009,Rainwater harvesting,Downtown,5 Level - LEED Platinum,Eco-Friendly Designs,4 Level -  ISO 14001,7/12/2023,61,3 - Yes,1 - low-flow,3 - sustainable,25% reduction in energy use,true
Sustainable Library,8/8/2023,29446158,Renewable energy sources,Metropolitan Area,5 Level - LEED Platinum,Sustainable Builders,1 Level - ENERGY STAR Certified,9/12/2023,93,3 - Yes,2 - high-efficiency,3 - sustainable,30% reduction in energy use,false
Green Office Building,7/8/2013,80535714,LEED Platinum certified,Downtown,3 Level - LEED Silver,Sustainable Builders,4 Level -  ISO 14001,12/26/2023,42,3 - Yes,2 - high-efficiency,3 - sustainable,40% reduction in energy use,false
Sustainable Library,10/2/2016,95370265,Rainwater harvesting,Town Square,4 Level - LEED Gold,Green Building Solutions,3 Level - Green Globes,2/26/2024,98,3 - Yes,2 - high-efficiency,5 - certified,40% reduction in energy use,false
Eco Elementary School,11/27/2022,36064957,LEED Platinum certified,Central District,3 Level - LEED Silver,EcoBuild Constructions,4 Level -  ISO 14001,11/25/2023,18,3 - Yes,2 - high-efficiency,5 - certified,40% reduction in energy use,false
Eco Elementary School,5/4/2019,16818940,LEED Platinum certified,Central District,4 Level - LEED Gold,Sustainable Builders,3 Level - Green Globes,6/17/2023,78,3 - Yes,2 - high-efficiency,5 - certified,30% reduction in energy use,false
Green Office Building,2/10/2023,75278429,LEED Platinum certified,City Centre,4 Level - LEED Gold,Green Architects Inc.,4 Level -  ISO 14001,12/27/2023,29,2 - Limited,1 - low-flow,4 - reclaimed,25% reduction in energy use,true
Sustainable Library,9/27/2015,95986656,Energy-efficient design,City Centre,5 Level - LEED Platinum,Green Architects Inc.,3 Level - Green Globes,8/13/2023,63,2 - Limited,2 - high-efficiency,3 - sustainable,25% reduction in energy use,true
Eco Elementary School,10/18/2019,31359910,Green roof,Metropolitan Area,4 Level - LEED Gold,Sustainable Builders,4 Level -  ISO 14001,9/24/2023,76,3 - Yes,1 - low-flow,4 - reclaimed,40% reduction in energy use,false
Eco Elementary School,5/21/2014,33677001,Green roof,Downtown,4 Level - LEED Gold,Green Building Solutions,3 Level - Green Globes,6/20/2023,76,3 - Yes,2 - high-efficiency,5 - certified,25% reduction in energy use,true
Green Office Building,4/24/2009,20648941,Rainwater harvesting,Town Square,3 Level - LEED Silver,Green Architects Inc.,4 Level -  ISO 14001,1/27/2024,13,3 - Yes,1 - low-flow,4 - reclaimed,30% reduction in energy use,false
Green Office Building,2/25/2015,11876242,LEED Platinum certified,Metropolitan Area,4 Level - LEED Gold,Green Architects Inc.,2 Level - LEED,8/8/2023,96,3 - Yes,1 - low-flow,4 - reclaimed,40% reduction in energy use,true
Sustainable Library,5/24/2017,30231148,Energy-efficient design,Town Square,3 Level - LEED Silver,Green Architects Inc.,4 Level -  ISO 14001,11/13/2023,79,3 - Yes,2 - high-efficiency,1 - local,25% reduction in energy use,false
Eco Elementary School,8/24/2022,74002619,Renewable energy sources,Central District,4 Level - LEED Gold,EcoBuild Constructions,4 Level -  ISO 14001,9/9/2023,52,3 - Yes,1 - low-flow,5 - certified,25% reduction in energy use,true
Eco Elementary School,2/19/2010,43192346,Renewable energy sources,Central District,5 Level - LEED Platinum,EcoBuild Constructions,4 Level -  ISO 14001,6/22/2023,51,2 - Limited,1 - low-flow,3 - sustainable,40% reduction in energy use,false
Sustainable Library,2/20/2010,66293600,Rainwater harvesting,Metropolitan Area,2 Level - LEED Certified,EcoBuild Constructions,3 Level - Green Globes,1/26/2024,57,3 - Yes,2 - high-efficiency,5 - certified,25% reduction in energy use,true
Eco Elementary School,8/4/2017,74647056,Energy-efficient design,Town Square,4 Level - LEED Gold,EcoBuild Constructions,4 Level -  ISO 14001,1/17/2024,72,2 - Limited,2 - high-efficiency,5 - certified,25% reduction in energy use,true
Green Office Building,4/25/2020,41872017,Energy-efficient design,Town Square,3 Level - LEED Silver,Green Building Solutions,4 Level -  ISO 14001,5/29/2023,38,1- No,2 - high-efficiency,3 - sustainable,40% reduction in energy use,false
Eco Elementary School,11/4/2016,91441193,Rainwater harvesting,City Centre,4 Level - LEED Gold,Eco-Friendly Designs,3 Level - Green Globes,7/4/2023,47,2 - Limited,1 - low-flow,3 - sustainable,40% reduction in energy use,true
Eco Elementary School,8/15/2014,48635222,LEED Platinum certified,Central District,3 Level - LEED Silver,EcoBuild Constructions,4 Level -  ISO 14001,11/10/2023,23,3 - Yes,1 - low-flow,2 - recycled,25% reduction in energy use,false
Sustainable Library,1/19/2012,37420324,Green roof,Central District,5 Level - LEED Platinum,Green Architects Inc.,4 Level -  ISO 14001,1/16/2024,47,3 - Yes,2 - high-efficiency,5 - certified,40% reduction in energy use,true
Eco Elementary School,11/13/2019,16586328,Green roof,Central District,4 Level - LEED Gold,Green Building Solutions,2 Level - LEED,7/9/2023,52,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Sustainable Library,2/14/2010,46819791,Energy-efficient design,City Centre,5 Level - LEED Platinum,Green Building Solutions,4 Level -  ISO 14001,5/16/2023,99,3 - Yes,2 - high-efficiency,1 - local,30% reduction in energy use,false
Sustainable Library,12/14/2022,64551209,Renewable energy sources,Town Square,3 Level - LEED Silver,Eco-Friendly Designs,2 Level - LEED,10/27/2023,36,2 - Limited,2 - high-efficiency,3 - sustainable,30% reduction in energy use,false
Sustainable Library,3/18/2021,4999927,LEED Platinum certified,Downtown,4 Level - LEED Gold,Green Building Solutions,4 Level -  ISO 14001,1/1/2024,83,2 - Limited,2 - high-efficiency,5 - certified,40% reduction in energy use,false
Eco Elementary School,6/1/2011,34426304,Green roof,Central District,3 Level - LEED Silver,Eco-Friendly Designs,4 Level -  ISO 14001,2/13/2024,76,3 - Yes,1 - low-flow,3 - sustainable,40% reduction in energy use,true
Sustainable Library,3/22/2006,6281396,LEED Platinum certified,Central District,1 Level - Not Applicable,EcoBuild Constructions,3 Level - Green Globes,10/9/2023,33,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,true
Sustainable Library,2/26/2006,99683913,Green roof,Metropolitan Area,5 Level - LEED Platinum,Green Architects Inc.,4 Level -  ISO 14001,9/14/2023,55,2 - Limited,1 - low-flow,1 - local,40% reduction in energy use,false
Eco Elementary School,10/24/2007,19872034,LEED Platinum certified,City Centre,5 Level - LEED Platinum,Sustainable Builders,4 Level -  ISO 14001,6/1/2023,21,3 - Yes,2 - high-efficiency,5 - certified,25% reduction in energy use,true
Eco Elementary School,10/9/2020,95437630,Green roof,Town Square,2 Level - LEED Certified,Sustainable Builders,4 Level -  ISO 14001,10/21/2023,87,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Green Office Building,12/10/2015,62541704,Renewable energy sources,Downtown,4 Level - LEED Gold,EcoBuild Constructions,2 Level - LEED,9/20/2023,75,3 - Yes,1 - low-flow,4 - reclaimed,40% reduction in energy use,true
Sustainable Library,8/5/2010,48108311,Green roof,City Centre,3 Level - LEED Silver,Sustainable Builders,4 Level -  ISO 14001,9/10/2023,22,1- No,1 - low-flow,5 - certified,25% reduction in energy use,false
Green Office Building,2/1/2019,66880201,Green roof,Downtown,4 Level - LEED Gold,EcoBuild Constructions,4 Level -  ISO 14001,11/15/2023,98,2 - Limited,2 - high-efficiency,2 - recycled,25% reduction in energy use,false
Green Office Building,4/13/2016,1763730,LEED Platinum certified,Town Square,3 Level - LEED Silver,Green Architects Inc.,4 Level -  ISO 14001,9/19/2023,62,3 - Yes,1 - low-flow,4 - reclaimed,40% reduction in energy use,false
Green Office Building,8/16/2007,95285133,Energy-efficient design,Metropolitan Area,2 Level - LEED Certified,Eco-Friendly Designs,2 Level - LEED,12/5/2023,54,3 - Yes,2 - high-efficiency,5 - certified,25% reduction in energy use,false
Sustainable Library,6/19/2020,42425224,Rainwater harvesting,Town Square,3 Level - LEED Silver,EcoBuild Constructions,3 Level - Green Globes,12/5/2023,89,3 - Yes,1 - low-flow,3 - sustainable,30% reduction in energy use,true
Sustainable Library,6/4/2006,34973891,Renewable energy sources,Metropolitan Area,4 Level - LEED Gold,EcoBuild Constructions,2 Level - LEED,6/5/2023,8,3 - Yes,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,true
Green Office Building,12/11/2020,99673004,Renewable energy sources,Metropolitan Area,3 Level - LEED Silver,Green Building Solutions,4 Level -  ISO 14001,6/28/2023,3,2 - Limited,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,true
Sustainable Library,6/2/2009,15299843,LEED Platinum certified,Downtown,4 Level - LEED Gold,EcoBuild Constructions,3 Level - Green Globes,9/21/2023,84,2 - Limited,1 - low-flow,2 - recycled,30% reduction in energy use,false
Sustainable Library,5/24/2017,18261256,Rainwater harvesting,City Centre,2 Level - LEED Certified,Eco-Friendly Designs,4 Level -  ISO 14001,11/30/2023,80,2 - Limited,1 - low-flow,5 - certified,25% reduction in energy use,false
Eco Elementary School,2/2/2019,85709138,Rainwater harvesting,Metropolitan Area,5 Level - LEED Platinum,Green Building Solutions,3 Level - Green Globes,9/30/2023,6,3 - Yes,2 - high-efficiency,1 - local,40% reduction in energy use,false
Green Office Building,12/16/2021,42593923,Renewable energy sources,Metropolitan Area,3 Level - LEED Silver,Eco-Friendly Designs,4 Level -  ISO 14001,1/7/2024,5,3 - Yes,2 - high-efficiency,4 - reclaimed,30% reduction in energy use,false
Eco Elementary School,12/9/2006,31948849,Renewable energy sources,Metropolitan Area,5 Level - LEED Platinum,Green Building Solutions,1 Level - ENERGY STAR Certified,12/4/2023,59,2 - Limited,2 - high-efficiency,2 - recycled,25% reduction in energy use,true
Green Office Building,8/17/2016,83195893,Rainwater harvesting,Downtown,5 Level - LEED Platinum,Green Architects Inc.,3 Level - Green Globes,1/7/2024,47,1- No,2 - high-efficiency,3 - sustainable,25% reduction in energy use,true
Eco Elementary School,10/1/2007,99900104,Renewable energy sources,Town Square,5 Level - LEED Platinum,Sustainable Builders,4 Level -  ISO 14001,12/30/2023,71,3 - Yes,2 - high-efficiency,2 - recycled,25% reduction in energy use,true
Eco Elementary School,8/3/2023,95200392,Green roof,Central District,4 Level - LEED Gold,Green Building Solutions,3 Level - Green Globes,2/14/2024,25,3 - Yes,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,false
Eco Elementary School,5/2/2016,91610778,LEED Platinum certified,City Centre,4 Level - LEED Gold,Eco-Friendly Designs,4 Level -  ISO 14001,1/3/2024,8,1- No,2 - high-efficiency,3 - sustainable,40% reduction in energy use,true
Green Office Building,5/10/2009,56436169,Rainwater harvesting,City Centre,2 Level - LEED Certified,Eco-Friendly Designs,4 Level -  ISO 14001,12/5/2023,41,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,true
Green Office Building,10/27/2005,62094750,Renewable energy sources,Metropolitan Area,4 Level - LEED Gold,Green Architects Inc.,1 Level - ENERGY STAR Certified,1/19/2024,96,2 - Limited,1 - low-flow,5 - certified,40% reduction in energy use,true
Green Office Building,12/10/2008,78629517,Energy-efficient design,Town Square,5 Level - LEED Platinum,EcoBuild Constructions,1 Level - ENERGY STAR Certified,12/17/2023,66,1- No,2 - high-efficiency,5 - certified,40% reduction in energy use,true
Sustainable Library,1/28/2021,23319421,LEED Platinum certified,Central District,3 Level - LEED Silver,Green Architects Inc.,1 Level - ENERGY STAR Certified,12/31/2023,37,3 - Yes,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,false
Sustainable Library,11/5/2018,96798511,Green roof,Central District,5 Level - LEED Platinum,Green Building Solutions,3 Level - Green Globes,2/22/2024,23,1- No,2 - high-efficiency,3 - sustainable,40% reduction in energy use,false
Sustainable Library,10/13/2023,5107279,Renewable energy sources,City Centre,5 Level - LEED Platinum,EcoBuild Constructions,4 Level -  ISO 14001,7/17/2023,98,3 - Yes,2 - high-efficiency,5 - certified,40% reduction in energy use,false
Green Office Building,10/9/2012,8802089,Renewable energy sources,City Centre,3 Level - LEED Silver,EcoBuild Constructions,3 Level - Green Globes,7/13/2023,63,2 - Limited,1 - low-flow,5 - certified,30% reduction in energy use,false
Eco Elementary School,8/13/2014,47361995,Rainwater harvesting,Central District,2 Level - LEED Certified,Eco-Friendly Designs,4 Level -  ISO 14001,1/1/2024,89,2 - Limited,2 - high-efficiency,3 - sustainable,40% reduction in energy use,false
Sustainable Library,12/24/2008,37479312,LEED Platinum certified,City Centre,1 Level - Not Applicable,Green Building Solutions,2 Level - LEED,12/14/2023,99,1- No,1 - low-flow,4 - reclaimed,25% reduction in energy use,true
Sustainable Library,3/17/2013,19249431,Rainwater harvesting,City Centre,4 Level - LEED Gold,Green Architects Inc.,4 Level -  ISO 14001,11/3/2023,1,3 - Yes,2 - high-efficiency,1 - local,40% reduction in energy use,false
Green Office Building,9/10/2021,90911745,Renewable energy sources,Metropolitan Area,5 Level - LEED Platinum,EcoBuild Constructions,2 Level - LEED,1/27/2024,100,2 - Limited,1 - low-flow,2 - recycled,25% reduction in energy use,true
Sustainable Library,5/14/2012,72280304,Energy-efficient design,Central District,5 Level - LEED Platinum,Green Building Solutions,2 Level - LEED,12/17/2023,58,2 - Limited,1 - low-flow,1 - local,25% reduction in energy use,false
Sustainable Library,5/8/2022,35798633,Renewable energy sources,City Centre,2 Level - LEED Certified,Green Architects Inc.,4 Level -  ISO 14001,12/4/2023,68,1- No,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,true
Sustainable Library,10/29/2018,35353831,Renewable energy sources,City Centre,2 Level - LEED Certified,EcoBuild Constructions,1 Level - ENERGY STAR Certified,7/21/2023,27,3 - Yes,1 - low-flow,5 - certified,40% reduction in energy use,false
Eco Elementary School,1/24/2011,16978790,Rainwater harvesting,City Centre,2 Level - LEED Certified,Green Building Solutions,4 Level -  ISO 14001,6/13/2023,95,2 - Limited,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Green Office Building,10/13/2019,58752480,Green roof,Town Square,2 Level - LEED Certified,EcoBuild Constructions,3 Level - Green Globes,10/26/2023,83,3 - Yes,1 - low-flow,3 - sustainable,40% reduction in energy use,true
Eco Elementary School,5/23/2011,3983519,Renewable energy sources,Central District,3 Level - LEED Silver,Green Architects Inc.,2 Level - LEED,2/19/2024,3,2 - Limited,2 - high-efficiency,3 - sustainable,25% reduction in energy use,true
Sustainable Library,2/1/2007,68916837,Renewable energy sources,Town Square,3 Level - LEED Silver,Sustainable Builders,3 Level - Green Globes,8/20/2023,12,3 - Yes,1 - low-flow,5 - certified,25% reduction in energy use,true
Green Office Building,12/18/2006,59186952,Renewable energy sources,Metropolitan Area,5 Level - LEED Platinum,EcoBuild Constructions,1 Level - ENERGY STAR Certified,6/18/2023,47,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Green Office Building,8/23/2014,27825070,Energy-efficient design,Town Square,2 Level - LEED Certified,Sustainable Builders,4 Level -  ISO 14001,12/1/2023,72,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Eco Elementary School,5/22/2015,82971321,Energy-efficient design,City Centre,5 Level - LEED Platinum,Eco-Friendly Designs,2 Level - LEED,1/10/2024,34,3 - Yes,2 - high-efficiency,2 - recycled,40% reduction in energy use,false
Eco Elementary School,7/3/2017,28268252,Rainwater harvesting,Town Square,3 Level - LEED Silver,Green Architects Inc.,4 Level -  ISO 14001,6/6/2023,88,1- No,2 - high-efficiency,5 - certified,40% reduction in energy use,true
Green Office Building,2/18/2023,86721679,Renewable energy sources,Central District,3 Level - LEED Silver,Green Building Solutions,4 Level -  ISO 14001,2/7/2024,86,1- No,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,true
Green Office Building,3/5/2012,12674577,Rainwater harvesting,Town Square,1 Level - Not Applicable,Sustainable Builders,1 Level - ENERGY STAR Certified,5/17/2023,62,3 - Yes,1 - low-flow,5 - certified,40% reduction in energy use,false
Eco Elementary School,8/4/2023,41334916,LEED Platinum certified,Central District,4 Level - LEED Gold,Green Architects Inc.,3 Level - Green Globes,1/6/2024,93,3 - Yes,2 - high-efficiency,3 - sustainable,25% reduction in energy use,false
Green Office Building,11/12/2011,95541011,Renewable energy sources,City Centre,1 Level - Not Applicable,Green Architects Inc.,4 Level -  ISO 14001,12/13/2023,81,2 - Limited,2 - high-efficiency,5 - certified,40% reduction in energy use,true
Eco Elementary School,10/4/2019,94062582,LEED Platinum certified,City Centre,4 Level - LEED Gold,Green Architects Inc.,3 Level - Green Globes,11/29/2023,78,3 - Yes,2 - high-efficiency,5 - certified,40% reduction in energy use,false
Sustainable Library,11/7/2010,63171229,LEED Platinum certified,Downtown,4 Level - LEED Gold,Green Building Solutions,4 Level -  ISO 14001,12/10/2023,82,1- No,2 - high-efficiency,5 - certified,25% reduction in energy use,false
Eco Elementary School,2/8/2007,62444064,Energy-efficient design,City Centre,4 Level - LEED Gold,Green Building Solutions,4 Level -  ISO 14001,7/7/2023,28,1- No,2 - high-efficiency,3 - sustainable,40% reduction in energy use,false
Sustainable Library,12/9/2019,19533321,Energy-efficient design,Downtown,3 Level - LEED Silver,EcoBuild Constructions,4 Level -  ISO 14001,10/11/2023,62,3 - Yes,2 - high-efficiency,2 - recycled,25% reduction in energy use,false
Sustainable Library,10/31/2011,27087614,LEED Platinum certified,Town Square,3 Level - LEED Silver,EcoBuild Constructions,2 Level - LEED,11/26/2023,73,3 - Yes,2 - high-efficiency,5 - certified,25% reduction in energy use,true
Green Office Building,3/28/2008,49317944,Energy-efficient design,City Centre,4 Level - LEED Gold,Eco-Friendly Designs,3 Level - Green Globes,6/6/2023,38,3 - Yes,2 - high-efficiency,3 - sustainable,25% reduction in energy use,false
Sustainable Library,5/28/2019,83643043,Renewable energy sources,City Centre,4 Level - LEED Gold,Green Building Solutions,1 Level - ENERGY STAR Certified,2/1/2024,48,2 - Limited,2 - high-efficiency,5 - certified,40% reduction in energy use,true
Eco Elementary School,5/18/2021,31709904,LEED Platinum certified,City Centre,4 Level - LEED Gold,Green Architects Inc.,3 Level - Green Globes,7/16/2023,54,2 - Limited,1 - low-flow,5 - certified,25% reduction in energy use,true
Green Office Building,8/9/2023,48546171,Energy-efficient design,Central District,4 Level - LEED Gold,EcoBuild Constructions,4 Level -  ISO 14001,2/5/2024,76,3 - Yes,1 - low-flow,5 - certified,25% reduction in energy use,false
Sustainable Library,1/3/2007,54150116,Rainwater harvesting,Town Square,5 Level - LEED Platinum,Eco-Friendly Designs,4 Level -  ISO 14001,12/7/2023,58,3 - Yes,1 - low-flow,4 - reclaimed,30% reduction in energy use,true
Sustainable Library,10/28/2017,93098831,Rainwater harvesting,Central District,2 Level - LEED Certified,Sustainable Builders,4 Level -  ISO 14001,7/31/2023,89,2 - Limited,1 - low-flow,3 - sustainable,30% reduction in energy use,false
Eco Elementary School,3/27/2019,83665822,LEED Platinum certified,Central District,3 Level - LEED Silver,Green Architects Inc.,4 Level -  ISO 14001,9/16/2023,36,2 - Limited,2 - high-efficiency,3 - sustainable,25% reduction in energy use,true
Sustainable Library,5/12/2017,30611742,Rainwater harvesting,Central District,5 Level - LEED Platinum,EcoBuild Constructions,4 Level -  ISO 14001,11/13/2023,82,1- No,2 - high-efficiency,5 - certified,40% reduction in energy use,false
Green Office Building,2/27/2022,4893765,Green roof,City Centre,5 Level - LEED Platinum,Green Architects Inc.,4 Level -  ISO 14001,9/7/2023,27,3 - Yes,2 - high-efficiency,2 - recycled,30% reduction in energy use,false
Eco Elementary School,1/16/2020,68232955,Green roof,Town Square,2 Level - LEED Certified,Sustainable Builders,3 Level - Green Globes,10/17/2023,17,3 - Yes,2 - high-efficiency,3 - sustainable,25% reduction in energy use,true
Green Office Building,12/11/2017,62772091,LEED Platinum certified,Downtown,2 Level - LEED Certified,Green Architects Inc.,2 Level - LEED,9/23/2023,67,1- No,1 - low-flow,5 - certified,40% reduction in energy use,false
