ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Green Office Building,10/30/2022,648443.27,Energy-efficient design,Jaffna,LEED Platinum,Sustainable Builders,ISO 14001,10/7/2023,69.95,No,low-flow,sustainable,25% reduction in energy use,false
Eco Elementary School,3/31/2023,850309.07,Rainwater harvesting,Kurunegala,LEED Silve,Sustainable Builders,ENERGY STAR Certified,1/17/2024,0.63,Yes,high-efficiency,sustainable,40% reduction in energy use,false
Eco Elementary School,9/5/2023,737213.71,Renewable energy sources,Gampaha,LEED Silve,Green Architects Inc.,Green Globes,10/18/2023,29.88,Limited,low-flow,recycled,30% reduction in energy use,false
Green Office Building,6/6/2023,364460.8,Energy-efficient design,Jaffna,Not Applicable,Green Architects Inc.,ENERGY STAR Certified,12/23/2023,68.53,Yes,high-efficiency,reclaimed,25% reduction in energy use,false
Green Office Building,12/6/2022,279813.78,Renewable energy sources,Anuradhapura,LEED Platinum,Green Building Solutions,Green Globes,6/14/2023,73.09,Yes,high-efficiency,reclaimed,30% reduction in energy use,true
Sustainable Library,7/21/2023,599752.7,LEED Platinum certified,Trincomalee,LEED Silve,Eco-Friendly Designs,ENERGY STAR Certified,11/17/2023,6.4,Yes,low-flow,sustainable,40% reduction in energy use,true
Eco Elementary School,5/27/2023,982649.2,LEED Platinum certified,Jaffna,LEED Certified,EcoBuild Constructions,ENERGY STAR Certified,2/29/2024,94.56,Yes,low-flow,certified,40% reduction in energy use,false
Sustainable Library,3/9/2023,309044.22,LEED Platinum certified,Negombo,Not Applicable,EcoBuild Constructions,Green Globes,9/25/2023,53.8,Yes,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,9/14/2023,806040.54,LEED Platinum certified,Colombo,Not Applicable,Eco-Friendly Designs,LEED,6/1/2023,65.53,Limited,low-flow,certified,30% reduction in energy use,true
Eco Elementary School,4/16/2023,719330.92,Green roof,Negombo,LEED Certified,Sustainable Builders,LEED,9/22/2023,40.63,Yes,low-flow,reclaimed,30% reduction in energy use,false
Eco Elementary School,4/29/2023,459135.48,Rainwater harvesting,Kurunegala,Not Applicable,Sustainable Builders,ENERGY STAR Certified,12/5/2023,78.96,Yes,high-efficiency,sustainable,25% reduction in energy use,true
Eco Elementary School,6/23/2023,389600.52,LEED Platinum certified,Gampaha,LEED Gold,Sustainable Builders,LEED,7/5/2023,74.54,No,high-efficiency,sustainable,25% reduction in energy use,false
Eco Elementary School,6/7/2023,612816.14,Energy-efficient design,Colombo,LEED Platinum,Eco-Friendly Designs,Green Globes,7/24/2023,71.18,Yes,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,5/1/2023,569339.39,Rainwater harvesting,Gampaha,LEED Silve,EcoBuild Constructions,ENERGY STAR Certified,9/26/2023,56.89,Yes,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,5/1/2023,755850.82,Rainwater harvesting,Trincomalee,Not Applicable,Green Architects Inc.,ENERGY STAR Certified,9/17/2023,53.29,No,high-efficiency,sustainable,40% reduction in energy use,false
Eco Elementary School,12/1/2022,185197.4,Green roof,Jaffna,LEED Certified,Green Building Solutions,LEED,11/2/2023,74.22,Limited,low-flow,reclaimed,40% reduction in energy use,false
Green Office Building,10/30/2022,543583.33,LEED Platinum certified,Colombo,Not Applicable,EcoBuild Constructions,ISO 14001,2/13/2024,31.37,Limited,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,10/6/2023,189531.16,Energy-efficient design,Anuradhapura,LEED Gold,Sustainable Builders,LEED,2/20/2024,72.42,Yes,high-efficiency,certified,30% reduction in energy use,true
Eco Elementary School,9/16/2023,766185.55,Rainwater harvesting,Trincomalee,LEED Silve,Sustainable Builders,LEED,7/27/2023,41.65,Limited,high-efficiency,recycled,40% reduction in energy use,false
Green Office Building,3/19/2023,147905.52,Green roof,Trincomalee,LEED Certified,Green Building Solutions,Green Globes,2/5/2024,89.12,Yes,low-flow,reclaimed,40% reduction in energy use,false
Sustainable Library,9/12/2023,135118.83,Green roof,Galle,LEED Gold,Green Architects Inc.,ISO 14001,10/14/2023,64.69,Yes,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,11/5/2022,386302.91,LEED Platinum certified,Matara,LEED Gold,Green Building Solutions,ENERGY STAR Certified,7/27/2023,2.19,Yes,low-flow,sustainable,25% reduction in energy use,true
Sustainable Library,10/10/2023,992126.08,Green roof,Gampaha,LEED Certified,Green Architects Inc.,LEED,9/4/2023,19.32,Yes,low-flow,recycled,40% reduction in energy use,true
Eco Elementary School,5/30/2023,321467.43,Rainwater harvesting,Jaffna,LEED Certified,Sustainable Builders,Green Globes,7/17/2023,87.41,No,low-flow,local,40% reduction in energy use,true
Eco Elementary School,9/3/2023,811874.25,Rainwater harvesting,Matara,LEED Certified,Eco-Friendly Designs,ISO 14001,1/7/2024,73.1,No,low-flow,sustainable,25% reduction in energy use,false
Eco Elementary School,12/10/2022,645147.3,Energy-efficient design,Kandy,LEED Silve,Eco-Friendly Designs,LEED,8/8/2023,56.56,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,12/14/2022,942132.32,Energy-efficient design,Trincomalee,LEED Platinum,Green Architects Inc.,Green Globes,5/16/2023,28.74,Limited,high-efficiency,reclaimed,30% reduction in energy use,false
Eco Elementary School,3/19/2023,725809.25,Green roof,Kurunegala,LEED Platinum,EcoBuild Constructions,LEED,12/23/2023,31.41,Limited,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,8/8/2023,257196.1,Rainwater harvesting,Matara,LEED Silve,Green Building Solutions,ISO 14001,8/7/2023,73.86,Limited,low-flow,certified,25% reduction in energy use,false
Sustainable Library,10/12/2023,803764.07,Rainwater harvesting,Colombo,LEED Certified,Green Building Solutions,LEED,12/30/2023,12.83,Yes,low-flow,certified,25% reduction in energy use,true
Green Office Building,4/2/2023,241491.48,LEED Platinum certified,Gampaha,Not Applicable,Green Architects Inc.,Green Globes,9/16/2023,29.34,Yes,low-flow,local,30% reduction in energy use,false
Green Office Building,6/5/2023,481821.74,Renewable energy sources,Kandy,LEED Silve,Sustainable Builders,ENERGY STAR Certified,2/21/2024,19.23,Limited,low-flow,recycled,25% reduction in energy use,true
Green Office Building,2/19/2023,765811.17,Rainwater harvesting,Jaffna,LEED Platinum,Green Architects Inc.,ISO 14001,8/22/2023,42.39,Limited,low-flow,reclaimed,40% reduction in energy use,true
Eco Elementary School,5/11/2023,234211.17,Renewable energy sources,Jaffna,LEED Gold,Sustainable Builders,ENERGY STAR Certified,6/10/2023,69.18,Limited,high-efficiency,local,25% reduction in energy use,true
Green Office Building,7/29/2023,190668.36,Energy-efficient design,Gampaha,LEED Silve,Sustainable Builders,ENERGY STAR Certified,12/21/2023,56.17,Limited,low-flow,certified,30% reduction in energy use,true
Eco Elementary School,12/13/2022,695640.28,Renewable energy sources,Kandy,LEED Certified,EcoBuild Constructions,ENERGY STAR Certified,11/20/2023,39.1,Yes,high-efficiency,local,25% reduction in energy use,true
Green Office Building,2/28/2023,528530.84,Green roof,Colombo,LEED Gold,Green Architects Inc.,LEED,11/20/2023,47.92,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Green Office Building,1/17/2023,812968.93,LEED Platinum certified,Matara,LEED Gold,Green Building Solutions,ENERGY STAR Certified,3/3/2024,17.4,Yes,low-flow,local,40% reduction in energy use,false
Sustainable Library,11/10/2022,100071.69,Renewable energy sources,Gampaha,Not Applicable,Sustainable Builders,LEED,2/13/2024,96.73,Limited,high-efficiency,local,40% reduction in energy use,false
Eco Elementary School,3/26/2023,747445.49,LEED Platinum certified,Matara,LEED Platinum,Eco-Friendly Designs,Green Globes,9/29/2023,9.32,No,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,10/26/2023,906798.39,Rainwater harvesting,Galle,LEED Certified,Green Architects Inc.,Green Globes,1/8/2024,1.69,Yes,low-flow,local,40% reduction in energy use,false
Sustainable Library,1/24/2023,439417.64,Rainwater harvesting,Colombo,LEED Silve,Green Building Solutions,ENERGY STAR Certified,11/11/2023,34.93,Limited,high-efficiency,local,30% reduction in energy use,true
Eco Elementary School,10/2/2023,102679.08,Renewable energy sources,Galle,Not Applicable,Sustainable Builders,LEED,9/4/2023,90.62,Limited,low-flow,sustainable,40% reduction in energy use,true
Green Office Building,10/8/2023,213705.77,LEED Platinum certified,Kurunegala,LEED Platinum,Sustainable Builders,LEED,8/26/2023,26.48,Yes,low-flow,local,25% reduction in energy use,true
Green Office Building,1/16/2023,802501.57,Green roof,Galle,LEED Certified,Sustainable Builders,ENERGY STAR Certified,1/13/2024,94.44,Yes,low-flow,certified,30% reduction in energy use,false
Sustainable Library,9/17/2023,717030.4,Rainwater harvesting,Matara,LEED Gold,Green Building Solutions,LEED,9/8/2023,40.71,Yes,low-flow,sustainable,30% reduction in energy use,true
Sustainable Library,5/4/2023,913421.21,Energy-efficient design,Gampaha,LEED Silve,EcoBuild Constructions,Green Globes,2/20/2024,18.68,No,low-flow,recycled,30% reduction in energy use,true
Eco Elementary School,3/7/2023,665394.78,Energy-efficient design,Negombo,Not Applicable,Eco-Friendly Designs,ENERGY STAR Certified,5/23/2023,65.71,Limited,low-flow,recycled,40% reduction in energy use,true
Eco Elementary School,2/16/2023,715086.25,Green roof,Negombo,LEED Platinum,Green Architects Inc.,LEED,3/6/2024,50.16,No,low-flow,reclaimed,25% reduction in energy use,true
Green Office Building,10/7/2023,562445.03,Rainwater harvesting,Trincomalee,LEED Platinum,EcoBuild Constructions,ISO 14001,12/4/2023,97.4,Yes,high-efficiency,local,25% reduction in energy use,true
Eco Elementary School,2/25/2023,899740.86,LEED Platinum certified,Matara,LEED Platinum,EcoBuild Constructions,ISO 14001,8/27/2023,2.4,Limited,low-flow,reclaimed,25% reduction in energy use,true
Eco Elementary School,12/16/2022,825079.11,Energy-efficient design,Negombo,LEED Platinum,Sustainable Builders,LEED,9/10/2023,0.77,Limited,high-efficiency,local,40% reduction in energy use,true
Eco Elementary School,1/21/2023,470509.26,Rainwater harvesting,Jaffna,LEED Silve,EcoBuild Constructions,Green Globes,11/22/2023,28.43,Yes,low-flow,certified,40% reduction in energy use,false
Green Office Building,6/2/2023,608044.25,Rainwater harvesting,Trincomalee,LEED Certified,Sustainable Builders,LEED,12/31/2023,10.13,Yes,high-efficiency,certified,25% reduction in energy use,false
Green Office Building,8/15/2023,696900.46,Energy-efficient design,Matara,Not Applicable,Sustainable Builders,ENERGY STAR Certified,8/13/2023,83.47,Limited,low-flow,recycled,40% reduction in energy use,false
Green Office Building,9/23/2023,742600.82,Green roof,Jaffna,LEED Certified,EcoBuild Constructions,Green Globes,11/6/2023,52.6,Limited,low-flow,local,40% reduction in energy use,false
Sustainable Library,1/29/2023,304287.89,Green roof,Gampaha,LEED Gold,Green Building Solutions,Green Globes,1/26/2024,68.95,No,high-efficiency,certified,25% reduction in energy use,false
Sustainable Library,2/17/2023,217091.59,LEED Platinum certified,Jaffna,Not Applicable,Green Architects Inc.,ENERGY STAR Certified,10/28/2023,48.88,Yes,high-efficiency,local,30% reduction in energy use,false
Green Office Building,10/10/2023,392376.56,Green roof,Colombo,Not Applicable,Green Architects Inc.,ENERGY STAR Certified,6/8/2023,49.39,Yes,low-flow,local,25% reduction in energy use,true
Sustainable Library,10/14/2023,980281.84,LEED Platinum certified,Colombo,LEED Certified,Sustainable Builders,LEED,10/5/2023,43.91,No,high-efficiency,reclaimed,30% reduction in energy use,true
Sustainable Library,12/31/2022,136236.84,Green roof,Anuradhapura,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,6/4/2023,62.23,Limited,high-efficiency,recycled,25% reduction in energy use,false
Sustainable Library,12/10/2022,229892.5,Rainwater harvesting,Matara,LEED Silve,Green Building Solutions,LEED,10/15/2023,53.39,Limited,low-flow,reclaimed,30% reduction in energy use,true
Sustainable Library,10/9/2023,739068.61,Rainwater harvesting,Colombo,Not Applicable,Eco-Friendly Designs,Green Globes,6/17/2023,30.06,Yes,low-flow,recycled,40% reduction in energy use,true
Green Office Building,5/14/2023,195759.11,Renewable energy sources,Negombo,LEED Silve,Green Architects Inc.,Green Globes,9/20/2023,94.96,Limited,low-flow,sustainable,40% reduction in energy use,true
Green Office Building,5/30/2023,102657.94,Energy-efficient design,Colombo,Not Applicable,Eco-Friendly Designs,ISO 14001,6/21/2023,70.0,Limited,high-efficiency,certified,25% reduction in energy use,true
Green Office Building,5/27/2023,727534.59,Renewable energy sources,Kandy,Not Applicable,Green Building Solutions,Green Globes,2/12/2024,7.52,Yes,high-efficiency,recycled,25% reduction in energy use,false
Sustainable Library,7/12/2023,863750.56,LEED Platinum certified,Gampaha,LEED Silve,Green Building Solutions,Green Globes,2/5/2024,31.95,Limited,high-efficiency,local,25% reduction in energy use,true
Sustainable Library,3/14/2023,710679.46,Renewable energy sources,Galle,LEED Certified,EcoBuild Constructions,ENERGY STAR Certified,12/31/2023,3.21,Yes,high-efficiency,recycled,25% reduction in energy use,false
Green Office Building,4/27/2023,823810.87,LEED Platinum certified,Matara,LEED Silve,Green Building Solutions,LEED,11/2/2023,57.39,No,high-efficiency,recycled,40% reduction in energy use,false
Green Office Building,2/8/2023,129394.95,Green roof,Trincomalee,Not Applicable,Green Building Solutions,ISO 14001,5/16/2023,1.18,No,high-efficiency,sustainable,25% reduction in energy use,false
Sustainable Library,7/31/2023,766688.78,LEED Platinum certified,Kurunegala,LEED Gold,Sustainable Builders,LEED,12/31/2023,37.53,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Green Office Building,3/27/2023,471559.35,Rainwater harvesting,Matara,LEED Gold,Eco-Friendly Designs,ISO 14001,10/12/2023,50.11,Limited,high-efficiency,recycled,40% reduction in energy use,false
Eco Elementary School,4/29/2023,888676.42,Green roof,Trincomalee,LEED Certified,Eco-Friendly Designs,Green Globes,10/23/2023,54.49,No,low-flow,local,40% reduction in energy use,true
Sustainable Library,1/5/2023,272017.67,LEED Platinum certified,Galle,LEED Gold,Green Building Solutions,ISO 14001,12/18/2023,37.95,Limited,low-flow,reclaimed,40% reduction in energy use,false
Eco Elementary School,7/15/2023,717091.86,Green roof,Gampaha,LEED Silve,Sustainable Builders,ISO 14001,9/30/2023,61.6,Yes,high-efficiency,local,30% reduction in energy use,false
Green Office Building,11/10/2022,661185.04,Renewable energy sources,Anuradhapura,LEED Certified,Green Building Solutions,ENERGY STAR Certified,12/30/2023,14.5,No,low-flow,reclaimed,40% reduction in energy use,true
Eco Elementary School,10/16/2023,610127.09,Green roof,Gampaha,Not Applicable,Green Building Solutions,LEED,6/23/2023,13.41,Limited,high-efficiency,recycled,25% reduction in energy use,true
Green Office Building,7/30/2023,443556.69,Rainwater harvesting,Jaffna,Not Applicable,EcoBuild Constructions,ISO 14001,7/19/2023,16.05,Yes,low-flow,certified,40% reduction in energy use,false
Green Office Building,5/10/2023,476259.37,Rainwater harvesting,Galle,LEED Silve,Sustainable Builders,LEED,9/13/2023,64.08,Yes,low-flow,local,25% reduction in energy use,true
Sustainable Library,9/9/2023,788733.23,Green roof,Anuradhapura,Not Applicable,EcoBuild Constructions,ENERGY STAR Certified,11/9/2023,20.99,Yes,high-efficiency,recycled,40% reduction in energy use,false
Eco Elementary School,7/28/2023,216990.03,LEED Platinum certified,Colombo,LEED Silve,Sustainable Builders,ISO 14001,3/3/2024,59.48,No,low-flow,certified,30% reduction in energy use,true
Green Office Building,12/11/2022,992857.88,Green roof,Anuradhapura,LEED Silve,EcoBuild Constructions,ENERGY STAR Certified,5/15/2023,71.2,Limited,low-flow,sustainable,40% reduction in energy use,true
Green Office Building,1/2/2023,342316.57,LEED Platinum certified,Kurunegala,LEED Certified,Sustainable Builders,Green Globes,9/14/2023,54.46,Yes,low-flow,reclaimed,40% reduction in energy use,true
Eco Elementary School,11/6/2022,401129.61,Renewable energy sources,Trincomalee,LEED Silve,Eco-Friendly Designs,ENERGY STAR Certified,10/27/2023,59.84,Yes,high-efficiency,sustainable,30% reduction in energy use,false
Eco Elementary School,10/13/2023,430286.36,Renewable energy sources,Kandy,LEED Platinum,Eco-Friendly Designs,ENERGY STAR Certified,2/21/2024,58.62,No,high-efficiency,local,25% reduction in energy use,false
Eco Elementary School,4/27/2023,406551.97,Rainwater harvesting,Negombo,LEED Gold,Eco-Friendly Designs,Green Globes,11/30/2023,57.51,Yes,low-flow,certified,30% reduction in energy use,false
Eco Elementary School,9/11/2023,488696.26,Renewable energy sources,Matara,LEED Silve,Sustainable Builders,Green Globes,6/18/2023,66.63,Limited,low-flow,certified,40% reduction in energy use,true
Eco Elementary School,12/22/2022,567904.53,LEED Platinum certified,Trincomalee,LEED Platinum,EcoBuild Constructions,Green Globes,7/17/2023,10.62,Limited,high-efficiency,reclaimed,30% reduction in energy use,false
Sustainable Library,6/21/2023,332696.07,Green roof,Gampaha,LEED Gold,Green Building Solutions,ENERGY STAR Certified,5/25/2023,88.87,Yes,high-efficiency,recycled,25% reduction in energy use,true
Eco Elementary School,5/9/2023,890788.74,Renewable energy sources,Jaffna,LEED Silve,Sustainable Builders,LEED,6/14/2023,78.32,Yes,high-efficiency,sustainable,40% reduction in energy use,false
Eco Elementary School,8/4/2023,589701.54,Energy-efficient design,Matara,Not Applicable,Green Architects Inc.,ISO 14001,2/12/2024,82.69,Yes,low-flow,sustainable,40% reduction in energy use,false
Sustainable Library,1/30/2023,134515.38,Rainwater harvesting,Galle,LEED Platinum,Sustainable Builders,LEED,10/5/2023,63.71,Limited,high-efficiency,recycled,30% reduction in energy use,true
Eco Elementary School,7/16/2023,283522.81,Renewable energy sources,Anuradhapura,Not Applicable,Eco-Friendly Designs,LEED,11/18/2023,83.21,Yes,high-efficiency,local,25% reduction in energy use,false
Eco Elementary School,1/17/2023,666966.55,LEED Platinum certified,Galle,Not Applicable,Green Architects Inc.,ENERGY STAR Certified,10/12/2023,47.36,Yes,low-flow,local,25% reduction in energy use,false
Sustainable Library,8/19/2023,664966.76,Renewable energy sources,Kandy,LEED Platinum,EcoBuild Constructions,Green Globes,10/25/2023,32.43,No,high-efficiency,sustainable,25% reduction in energy use,false
Sustainable Library,5/21/2023,579054.97,Rainwater harvesting,Trincomalee,Not Applicable,Eco-Friendly Designs,ENERGY STAR Certified,9/22/2023,19.98,No,low-flow,local,40% reduction in energy use,true
Sustainable Library,11/8/2022,477816.44,Rainwater harvesting,Colombo,Not Applicable,Eco-Friendly Designs,ENERGY STAR Certified,6/26/2023,30.75,Limited,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,1/1/2023,691141.91,Renewable energy sources,Kandy,LEED Silve,Sustainable Builders,ISO 14001,1/3/2024,41.68,No,low-flow,recycled,25% reduction in energy use,false
Sustainable Library,2/24/2023,524848.52,Rainwater harvesting,Galle,LEED Platinum,Green Building Solutions,LEED,11/18/2023,95.75,No,low-flow,reclaimed,25% reduction in energy use,true
Eco Elementary School,2/19/2023,872318.37,Renewable energy sources,Trincomalee,LEED Silve,EcoBuild Constructions,LEED,8/19/2023,93.18,No,low-flow,certified,25% reduction in energy use,false
Green Office Building,8/4/2023,743070.58,Energy-efficient design,Anuradhapura,LEED Certified,Green Building Solutions,Green Globes,3/9/2024,28.43,Limited,high-efficiency,sustainable,25% reduction in energy use,true
Green Office Building,4/30/2023,286227.72,Renewable energy sources,Kurunegala,LEED Gold,EcoBuild Constructions,ENERGY STAR Certified,8/11/2023,19.0,No,high-efficiency,local,30% reduction in energy use,false
Green Office Building,10/28/2022,949536.8,LEED Platinum certified,Colombo,LEED Platinum,Green Building Solutions,ENERGY STAR Certified,8/3/2023,35.96,Limited,low-flow,sustainable,40% reduction in energy use,true
Sustainable Library,12/23/2022,513734.45,Green roof,Jaffna,Not Applicable,Green Architects Inc.,ISO 14001,10/4/2023,96.09,Yes,low-flow,reclaimed,40% reduction in energy use,false
Green Office Building,8/21/2023,862296.56,Rainwater harvesting,Kandy,LEED Certified,Sustainable Builders,LEED,2/1/2024,55.03,Yes,high-efficiency,recycled,40% reduction in energy use,false
Green Office Building,12/17/2022,997952.62,LEED Platinum certified,Anuradhapura,LEED Silve,Green Building Solutions,LEED,1/30/2024,66.22,No,low-flow,sustainable,40% reduction in energy use,true
Sustainable Library,2/22/2023,731148.68,Rainwater harvesting,Kurunegala,LEED Platinum,Green Building Solutions,ISO 14001,1/5/2024,73.31,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,2/21/2023,802586.33,Renewable energy sources,Jaffna,LEED Silve,Green Architects Inc.,ISO 14001,7/17/2023,87.69,Yes,high-efficiency,local,25% reduction in energy use,true
Eco Elementary School,12/20/2022,696499.59,LEED Platinum certified,Anuradhapura,LEED Platinum,Green Architects Inc.,Green Globes,6/11/2023,64.71,No,high-efficiency,certified,25% reduction in energy use,false
Sustainable Library,3/20/2023,699940.88,Green roof,Jaffna,LEED Gold,EcoBuild Constructions,ISO 14001,9/12/2023,47.34,Limited,high-efficiency,recycled,40% reduction in energy use,false
Sustainable Library,4/19/2023,198260.0,Green roof,Colombo,LEED Platinum,Green Building Solutions,Green Globes,5/23/2023,30.38,Yes,high-efficiency,local,30% reduction in energy use,false
Green Office Building,8/3/2023,689197.62,Energy-efficient design,Negombo,LEED Platinum,Sustainable Builders,LEED,6/8/2023,59.54,Yes,high-efficiency,certified,30% reduction in energy use,true
Sustainable Library,3/24/2023,813950.53,Energy-efficient design,Colombo,LEED Certified,Sustainable Builders,Green Globes,3/5/2024,52.56,Yes,low-flow,recycled,25% reduction in energy use,true
Green Office Building,11/29/2022,948809.07,Energy-efficient design,Negombo,LEED Silve,Eco-Friendly Designs,ISO 14001,6/2/2023,84.86,Yes,high-efficiency,sustainable,40% reduction in energy use,false
Green Office Building,6/29/2023,764794.39,Rainwater harvesting,Matara,LEED Platinum,Eco-Friendly Designs,ISO 14001,6/21/2023,23.42,Yes,high-efficiency,recycled,25% reduction in energy use,false
Sustainable Library,7/14/2023,929853.23,Renewable energy sources,Kandy,LEED Certified,Green Building Solutions,Green Globes,12/19/2023,83.35,Yes,low-flow,reclaimed,40% reduction in energy use,true
Sustainable Library,4/17/2023,678506.16,Rainwater harvesting,Gampaha,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,12/2/2023,6.11,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Green Office Building,6/22/2023,360689.35,Green roof,Galle,LEED Platinum,Green Architects Inc.,Green Globes,6/5/2023,39.26,Yes,high-efficiency,local,40% reduction in energy use,false
Sustainable Library,6/23/2023,449297.07,Renewable energy sources,Colombo,LEED Gold,Green Building Solutions,Green Globes,10/26/2023,88.15,Limited,low-flow,reclaimed,40% reduction in energy use,true
Green Office Building,11/19/2022,692829.41,Green roof,Negombo,LEED Platinum,Eco-Friendly Designs,LEED,6/20/2023,75.59,No,low-flow,local,40% reduction in energy use,false
Green Office Building,3/14/2023,115586.81,LEED Platinum certified,Gampaha,LEED Platinum,Eco-Friendly Designs,ISO 14001,8/4/2023,60.35,No,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,10/16/2023,696330.56,Rainwater harvesting,Negombo,Not Applicable,EcoBuild Constructions,LEED,10/25/2023,52.91,No,low-flow,local,30% reduction in energy use,false
Eco Elementary School,2/12/2023,310565.63,Green roof,Colombo,Not Applicable,Sustainable Builders,ISO 14001,6/10/2023,58.57,No,low-flow,reclaimed,40% reduction in energy use,false
Eco Elementary School,11/19/2022,511348.91,Green roof,Galle,LEED Silve,EcoBuild Constructions,LEED,12/26/2023,78.18,No,high-efficiency,sustainable,25% reduction in energy use,true
Sustainable Library,3/7/2023,672978.84,Renewable energy sources,Kandy,Not Applicable,EcoBuild Constructions,Green Globes,8/4/2023,20.48,Yes,low-flow,recycled,25% reduction in energy use,true
Sustainable Library,12/18/2022,235666.65,LEED Platinum certified,Colombo,LEED Certified,Eco-Friendly Designs,Green Globes,2/23/2024,39.39,Limited,low-flow,local,30% reduction in energy use,true
Eco Elementary School,9/1/2023,235213.6,LEED Platinum certified,Gampaha,LEED Platinum,Green Architects Inc.,ISO 14001,7/28/2023,34.21,Limited,low-flow,reclaimed,30% reduction in energy use,true
Sustainable Library,8/21/2023,738979.37,Green roof,Colombo,LEED Platinum,Green Architects Inc.,ENERGY STAR Certified,12/4/2023,39.88,Limited,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,11/23/2022,130696.19,Energy-efficient design,Galle,LEED Silve,Green Architects Inc.,ENERGY STAR Certified,7/28/2023,1.14,Yes,low-flow,certified,30% reduction in energy use,true
Sustainable Library,7/5/2023,107292.44,Energy-efficient design,Jaffna,Not Applicable,Green Architects Inc.,LEED,2/27/2024,49.79,No,high-efficiency,certified,25% reduction in energy use,true
Sustainable Library,5/3/2023,703679.33,Rainwater harvesting,Matara,Not Applicable,Green Building Solutions,ISO 14001,8/28/2023,79.3,Yes,low-flow,local,40% reduction in energy use,false
Sustainable Library,2/14/2023,270811.85,LEED Platinum certified,Colombo,LEED Gold,Green Architects Inc.,ISO 14001,11/14/2023,64.98,No,low-flow,local,40% reduction in energy use,true
Sustainable Library,10/12/2023,848169.08,Renewable energy sources,Jaffna,LEED Silve,Green Building Solutions,LEED,11/2/2023,53.88,Limited,low-flow,recycled,25% reduction in energy use,false
Green Office Building,10/14/2023,372576.66,LEED Platinum certified,Colombo,LEED Platinum,Eco-Friendly Designs,Green Globes,11/21/2023,4.44,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Green Office Building,12/28/2022,671852.17,Renewable energy sources,Matara,LEED Gold,Sustainable Builders,Green Globes,11/19/2023,42.27,Yes,low-flow,local,30% reduction in energy use,false
Green Office Building,5/7/2023,689776.17,Energy-efficient design,Matara,LEED Silve,Sustainable Builders,ENERGY STAR Certified,7/25/2023,82.4,Limited,high-efficiency,local,25% reduction in energy use,false
Eco Elementary School,2/24/2023,388924.28,Renewable energy sources,Kandy,LEED Certified,Green Architects Inc.,LEED,12/4/2023,49.23,Limited,high-efficiency,reclaimed,30% reduction in energy use,true
Green Office Building,2/16/2023,995848.29,LEED Platinum certified,Kandy,LEED Certified,Eco-Friendly Designs,ENERGY STAR Certified,12/22/2023,4.58,Yes,high-efficiency,certified,30% reduction in energy use,false
Eco Elementary School,6/17/2023,445570.15,Renewable energy sources,Anuradhapura,LEED Silve,Green Building Solutions,Green Globes,8/2/2023,35.2,Yes,high-efficiency,local,25% reduction in energy use,true
Sustainable Library,4/7/2023,248958.95,Rainwater harvesting,Anuradhapura,LEED Platinum,EcoBuild Constructions,ENERGY STAR Certified,10/20/2023,67.02,Yes,high-efficiency,recycled,30% reduction in energy use,true
Eco Elementary School,2/12/2023,855948.97,LEED Platinum certified,Matara,LEED Platinum,Eco-Friendly Designs,Green Globes,10/9/2023,40.99,No,low-flow,reclaimed,25% reduction in energy use,true
Sustainable Library,8/21/2023,656565.12,LEED Platinum certified,Kandy,LEED Silve,EcoBuild Constructions,LEED,12/30/2023,80.67,No,low-flow,sustainable,30% reduction in energy use,true
Green Office Building,6/20/2023,802707.57,LEED Platinum certified,Matara,LEED Silve,Eco-Friendly Designs,LEED,5/21/2023,71.31,No,low-flow,reclaimed,40% reduction in energy use,true
Sustainable Library,7/13/2023,271850.63,Renewable energy sources,Kandy,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,8/28/2023,69.03,No,low-flow,reclaimed,30% reduction in energy use,true
Sustainable Library,10/6/2023,992486.85,Renewable energy sources,Galle,LEED Gold,Green Architects Inc.,ENERGY STAR Certified,7/18/2023,68.16,Limited,high-efficiency,recycled,40% reduction in energy use,true
